event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,138765,145662,"shallow",0,175164,175461,"lessthan2",0,138765,160677,"intro",
1,146256,153186,"medium",1,277596,279048,"lessthan2",1,165297,226611,"fam1",
2,153813,160677,"deep",2,280995,282150,"lessthan2",2,230307,292413,"fam2",
3,165297,174570,"shallow_yes",3,302775,304535,"lessthan2",3,296736,311982,"*fam3",
4,175164,182820,"medium_no",4,308550,310090,"lessthan2",4,315579,379665,"fam4",
5,183414,192786,"medium_yes",5,329175,329934,"lessthan2",5,383361,392238,"fam5",
6,193347,200970,"deep_no",6,375936,377586,"lessthan2",6,396891,459063,"fam6",
7,201597,210903,"shallow_yes",7,389862,392238,"morethan2",,,,,
8,211497,219153,"medium_no",8,440352,440880,"lessthan2",,,,,
9,219780,226611,"medium_yes",9,457776,458139,"lessthan2",,,,,
10,230307,237963,"deep_no",10,458700,459063,"lessthan2",,,,,
11,238524,247896,"medium_yes",,,,,,,,,
12,248490,256146,"medium_no",,,,,,,,,
13,256707,266046,"shallow_yes",,,,,,,,,
14,266640,274296,"deep_no",,,,,,,,,
15,274857,284229,"medium_yes",,,,,,,,,
16,284823,292413,"medium_no",,,,,,,,,
17,296736,306042,"shallow_yes",,,,,,,,,
18,306603,311982,"*medium_no",,,,,,,,,
19,315579,323202,"deep_no",,,,,,,,,
20,323829,333135,"medium_yes",,,,,,,,,
21,333762,341418,"medium_no",,,,,,,,,
22,341979,351351,"shallow_yes",,,,,,,,,
23,351879,359535,"deep_no",,,,,,,,,
24,360162,369501,"medium_yes",,,,,,,,,
25,370095,377751,"medium_no",,,,,,,,,
26,378312,379665,"*shallow_yes",,,,,,,,,
27,383361,392238,"shallow_yes",,,,,,,,,
28,396891,404547,"deep_no",,,,,,,,,
29,405141,414480,"medium_yes",,,,,,,,,
30,415074,422730,"medium_no",,,,,,,,,
31,423357,432663,"shallow_yes",,,,,,,,,
32,433257,440880,"deep_no",,,,,,,,,
33,441474,450846,"medium_yes",,,,,,,,,
34,451407,459063,"medium_no",,,,,,,,,
