event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,97075,103895,"shallow",0,148610,150810,"morethan2",0,97075,118965,"intro",
1,104555,111485,"medium",1,225225,225995,"lessthan2",1,123354,150810,"fam1",
2,112035,118965,"deep",2,228415,228800,"lessthan2",2,156156,217580,"fam2",
3,123354,131010,"deep_no",3,231330,232320,"lessthan2",3,221540,283580,"fam3",
4,131615,140965,"medium_yes",4,282645,283195,"lessthan2",4,288530,295185,"fam4",
5,141570,150810,"medium_no",5,293040,295185,"morethan2",5,299860,333575,"fam5",
6,156156,165495,"shallow_yes",6,301895,302280,"lessthan2",6,337590,365090,"fam6",
7,166100,173690,"medium_no",7,312620,313225,"lessthan2",,,,,
8,174350,183645,"medium_yes",8,331485,333575,"morethan2",,,,,
9,184305,191895,"deep_no",9,342925,343530,"lessthan2",,,,,
10,192500,201795,"shallow_yes",10,362010,365090,"morethan2",,,,,
11,202400,210045,"medium_no",,,,,,,,,
12,210705,217580,"medium_yes",,,,,,,,,
13,221540,229075,"deep_no",,,,,,,,,
14,229680,239030,"medium_yes",,,,,,,,,
15,239635,247280,"medium_no",,,,,,,,,
16,247885,257180,"shallow_yes",,,,,,,,,
17,257785,265430,"deep_no",,,,,,,,,
18,266035,275385,"medium_yes",,,,,,,,,
19,276045,283580,"medium_no",,,,,,,,,
20,288530,295185,"shallow_yes",,,,,,,,,
21,299860,307450,"deep_no",,,,,,,,,
22,308110,317460,"medium_yes",,,,,,,,,
23,318065,325655,"medium_no",,,,,,,,,
24,326315,333575,"shallow_yes",,,,,,,,,
25,337590,346885,"shallow_yes",,,,,,,,,
26,347490,355135,"medium_no",,,,,,,,,
27,355740,365090,"medium_yes",,,,,,,,,
