event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,64680,71544,"shallow",0,148555,149765,"lessthan2",0,64680,86625,"intro",
1,72171,79134,"medium",1,172975,173415,"lessthan2",1,90860,152955,"fam1",
2,79728,86625,"deep",2,185185,186120,"lessthan2",2,157135,220275,"fam2",
3,90860,98450,"deep_no",3,229900,231550,"lessthan2",3,224235,286220,"fam3",
4,99055,108405,"medium_yes",4,237930,238975,"lessthan2",4,293370,336160,"fam4",
5,109010,116655,"medium_no",5,256795,257620,"lessthan2",5,339735,374880,"fam5",
6,117205,126610,"shallow_yes",6,299640,300245,"lessthan2",6,379280,404690,"fam6",
7,127215,134805,"deep_no",7,333520,336160,"morethan2",,,,,
8,135410,144760,"medium_yes",8,345235,346555,"lessthan2",,,,,
9,145310,152955,"medium_no",9,372405,374880,"morethan2",,,,,
10,157135,166430,"shallow_yes",10,394405,396110,"lessthan2",,,,,
11,167035,174625,"medium_no",11,399905,400510,"lessthan2",,,,,
12,175285,184580,"medium_yes",12,402655,404690,"morethan2",,,,,
13,185185,192775,"deep_no",,,,,,,,,
14,193380,202730,"shallow_yes",,,,,,,,,
15,203335,210980,"medium_no",,,,,,,,,
16,211585,220275,"medium_yes",,,,,,,,,
17,224235,231715,"deep_no",,,,,,,,,
18,232375,241725,"medium_yes",,,,,,,,,
19,242385,249920,"medium_no",,,,,,,,,
20,250525,259875,"shallow_yes",,,,,,,,,
21,260480,268070,"deep_no",,,,,,,,,
22,268730,278025,"medium_yes",,,,,,,,,
23,278685,286220,"medium_no",,,,,,,,,
24,293370,302665,"shallow_yes",,,,,,,,,
25,303325,310915,"medium_no",,,,,,,,,
26,311520,320870,"medium_yes",,,,,,,,,
27,321530,329120,"deep_no",,,,,,,,,
28,329670,336160,"*shallow_yes",,,,,,,,,
29,339735,347325,"deep_no",,,,,,,,,
30,347985,357280,"medium_yes",,,,,,,,,
31,357940,365530,"medium_no",,,,,,,,,
32,366135,374880,"shallow_yes",,,,,,,,,
33,379280,388575,"shallow_yes",,,,,,,,,
34,389235,396880,"medium_no",,,,,,,,,
35,397485,404690,"medium_yes",,,,,,,,,
