"","videoclip","trial","subjID","duration.on"
"147","deep_no","fam5","S4_21",6.006
"148","medium_yes","fam5","S4_21",7.777
"149","medium_no","fam5","S4_21",6.402
"150","shallow_yes","fam5","S4_21",5.247
"151","shallow_yes","fam6","S4_21",3.245
"152","shallow_yes","fam1","S4_22",9.339
"153","medium_no","fam1","S4_22",7.656
"154","medium_yes","fam1","S4_22",9.273
"155","deep_no","fam1","S4_22",5.511
"156","deep_no","fam2","S4_22",15.213
"157","medium_yes","fam2","S4_22",16.038
"158","medium_no","fam2","S4_22",15.246
"159","shallow_yes","fam2","S4_22",7.711
"160","shallow_yes","fam3","S4_22",21.945
"161","medium_no","fam3","S4_22",11.506
"162","medium_yes","fam3","S4_22",14.883
"163","deep_no","fam3","S4_22",12.342
"164","deep_no","fam4","S4_22",7.656
"165","shallow_yes","fam5","S4_22",4.807
"166","deep_no","fam6","S4_22",5.786
"167","shallow_yes","fam1","S4_23",17.05
"168","medium_no","fam1","S4_23",12.045
"169","medium_yes","fam1","S4_23",12.32
"170","deep_no","fam1","S4_23",6.105
"171","deep_no","fam2","S4_23",15.18
"172","medium_yes","fam2","S4_23",10.285
"173","medium_no","fam2","S4_23",11.99
"174","shallow_yes","fam2","S4_23",6.985
"175","shallow_yes","fam3","S4_23",12.76
"176","medium_no","fam3","S4_23",9.515
"177","medium_yes","fam3","S4_23",7.755
"178","deep_no","fam3","S4_23",7.59
"179","deep_no","fam4","S4_23",6.325
"180","shallow_yes","fam5","S4_23",7.645
"181","medium_no","fam5","S4_23",4.895
"182","medium_yes","fam5","S4_23",6.16
"183","deep_no","fam5","S4_23",3.08
"184","deep_no","fam6","S4_23",11.495
"185","medium_yes","fam6","S4_23",1.265
"186","medium_no","fam6","S4_23",5.335
"187","shallow_yes","fam6","S4_23",8.415
"188","deep_no","fam1","S4_26",11.44
"189","medium_yes","fam1","S4_26",18.15
"190","medium_no","fam1","S4_26",6.38
"191","shallow_yes","fam1","S4_26",7.535
"192","shallow_yes","fam2","S4_26",15.235
"193","medium_no","fam2","S4_26",7.645
"194","medium_yes","fam2","S4_26",9.35
"195","deep_no","fam2","S4_26",7.59
"196","deep_no","fam3","S4_26",11.77
"197","medium_yes","fam3","S4_26",9.35
"198","medium_no","fam3","S4_26",6.105
"199","shallow_yes","fam3","S4_26",7.37
"200","shallow_yes","fam4","S4_26",9.02
"201","medium_no","fam4","S4_26",5.885
"202","deep_no","fam5","S4_26",6.6
"203","medium_yes","fam5","S4_26",3.3
"204","medium_no","fam5","S4_26",5.335
"205","shallow_yes","fam6","S4_26",8.91
"206","deep_no","fam1","S4_27",10.01
"207","medium_yes","fam1","S4_27",17.765
"208","medium_no","fam1","S4_27",15.29
"209","shallow_yes","fam1","S4_27",9.878
"210","shallow_yes","fam2","S4_27",9.405
"211","medium_no","fam2","S4_27",7.59
"212","medium_yes","fam2","S4_27",9.295
"213","deep_no","fam2","S4_27",4.455
"214","deep_no","fam3","S4_27",7.59
"215","medium_yes","fam3","S4_27",8.525
"216","medium_no","fam3","S4_27",5.39
"217","shallow_yes","fam4","S4_27",7.975
"218","medium_no","fam4","S4_27",6.16
"219","deep_no","fam5","S4_27",6.16
"220","shallow_yes","fam6","S4_27",8.195
"221","medium_no","fam6","S4_27",7.645
"222","medium_yes","fam6","S4_27",8.14
"223","deep_no","fam6","S4_27",6.05
"224","deep_no","fam1","S4_29",15.18
"225","medium_yes","fam1","S4_29",16.335
"226","medium_no","fam1","S4_29",7.656
"227","shallow_yes","fam1","S4_29",8.151
"228","shallow_yes","fam2","S4_29",9.339
"229","medium_no","fam2","S4_29",6.358
"230","deep_no","fam3","S4_29",15.246
"231","medium_yes","fam3","S4_29",18.744
"232","medium_no","fam3","S4_29",11.616
"233","shallow_yes","fam3","S4_29",9.339
"234","shallow_yes","fam4","S4_29",9.064
"235","medium_no","fam4","S4_29",5.159
"236","deep_no","fam5","S4_29",7.557
"237","medium_yes","fam5","S4_29",8.624
"238","medium_no","fam5","S4_29",6.116
"239","shallow_yes","fam6","S4_29",8.679
"240","shallow_yes","fam1","S4_31",18.645
"241","medium_no","fam1","S4_31",15.345
"242","medium_yes","fam1","S4_31",17.27
"243","deep_no","fam1","S4_31",7.645
"244","deep_no","fam2","S4_31",15.07
"245","medium_yes","fam2","S4_31",18.7
"246","medium_no","fam2","S4_31",14.63
"247","shallow_yes","fam2","S4_31",9.295
"248","shallow_yes","fam3","S4_31",9.46
"249","medium_no","fam3","S4_31",15.29
"250","medium_yes","fam3","S4_31",15.015
"251","deep_no","fam3","S4_31",6.875
"252","deep_no","fam4","S4_31",12.65
"253","medium_yes","fam4","S4_31",8.745
"254","medium_no","fam4","S4_31",6.105
"255","shallow_yes","fam4","S4_31",9.35
"256","shallow_yes","fam5","S4_31",9.35
"257","medium_no","fam5","S4_31",3.63
"258","deep_no","fam6","S4_31",12.32
"259","medium_yes","fam6","S4_31",5.775
"260","medium_no","fam6","S4_31",7.04
"261","shallow_yes","fam6","S4_31",8.8
"262","deep_no","fam1","S4_4",15.279
"263","medium_yes","fam1","S4_4",18.744
"264","medium_no","fam1","S4_4",14.718
"265","shallow_yes","fam1","S4_4",9.306
"266","shallow_yes","fam2","S4_4",18.546
"267","medium_no","fam2","S4_4",15.235
"268","medium_yes","fam2","S4_4",9.35
"269","deep_no","fam2","S4_4",7.59
"270","deep_no","fam3","S4_4",15.147
"271","medium_yes","fam3","S4_4",8.536
"272","medium_no","fam3","S4_4",6.996
"273","shallow_yes","fam3","S4_4",8.019
"274","shallow_yes","fam4","S4_4",9.284
"275","deep_no","fam5","S4_4",7.59
"276","medium_yes","fam5","S4_4",9.35
"277","medium_no","fam5","S4_4",3.267
"278","shallow_yes","fam1","S4_5",18.579
"279","medium_no","fam1","S4_5",14.718
"280","medium_yes","fam1","S4_5",16.203
"281","deep_no","fam1","S4_5",7.623
"282","deep_no","fam2","S4_5",15.312
"283","medium_yes","fam2","S4_5",13.53
"284","medium_no","fam2","S4_5",15.246
"285","shallow_yes","fam2","S4_5",9.339
"286","shallow_yes","fam3","S4_5",7.546
"287","deep_no","fam4","S4_5",15.279
"288","medium_yes","fam4","S4_5",17.127
"289","medium_no","fam4","S4_5",12.012
"290","shallow_yes","fam4","S4_5",9.372
"291","shallow_yes","fam5","S4_5",6.501
"292","deep_no","fam6","S4_5",14.223
"293","medium_yes","fam6","S4_5",18.711
"294","medium_no","fam6","S4_5",13.86
"295","shallow_yes","fam6","S4_5",9.306
