reliability,sex,subj,agem,experiment,exp,cost,HV_side,first_test,first_fam,first_test_scene,prefam_config,prefam_firstevent,prefam_1,prefam_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,avg.lower,avg.higher,lower1,lower2,higher1,higher2,prop.lower,prop.higher,pref.raw,pre.low,pre.high
0,f,37-MR,10.06666667,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,11.288,5.78,60,60,55.2,32.2,19.4,8.6,6.562,4.692,16.32,20.298,39.23333333,235.4,12.495,11.441,4.692,20.298,6.562,16.32,0.522017045,0.477982955,lower,11.288,5.78
0,m,38-MR,8.966666667,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,5.848,4.386,21.8,13.5,11.9,7,4.4,28.5,11.492,40.426,9.656,NA - 2.822,14.51666667,87.1,10.574,40.426,11.492,9.656,40.426,NA - 2.822,0.207333333,0.792666667,higher,4.386,5.848
1,f,41-MR,9.933333333,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,9.35,7.616,43.2,60,21.1,22.2,29.9,6.6,NA-3.06,60,45.73,19.89,30.5,183,39.945,45.73,60,19.89,NA-3.06,45.73,0.466238693,0.533761307,higher,9.35,7.616
1,m,42-MR,9.866666667,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,19.89,12.002,60,60,26.5,21.2,31,11.7,16.218,23.494,10.472,10.2,35.06666667,210.4,16.847,13.345,23.494,10.2,16.218,10.472,0.557995495,0.442004505,lower,19.89,12.002
0,f,43-MR,9.833333333,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,26.01,14.246,60,49.9,60,40.8,57.8,14.2,28.458,60,25.514,10.88,47.11666667,282.7,35.44,26.986,60,10.88,28.458,25.514,0.567712171,0.432287829,lower,26.01,14.246
0,f,53-MR,10.33333333,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,17.646,6.834,60,16.2,46.4,57,22.7,5.5,19.516,NA - 4.182,36.516,39.202,34.63333333,207.8,28.016,39.202,19.516,36.516,NA - 4.182,39.202,0.416793121,0.583206879,higher,6.834,17.646
0,f,55-MR,10.2,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,11.9,6.936,60,24.4,4.9,23.3,23.9,5.4,14.552,5.168,18.292,Fuss out,23.65,141.9,5.168,16.422,5.168,Fuss out,14.552,18.292,0.239370079,0.760629921,higher,11.9,6.936
1,m,58-MR,9.533333333,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,16.32,10.302,60,60,12,16.1,25.9,5.5,14.62,8.636,14.518,9.996,29.91666667,179.5,14.569,9.316,14.62,14.518,8.636,9.996,0.609964413,0.390035587,lower,10.302,16.32
1,f,60-MR,10.46666667,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,5.882,7.31,60,60,58.4,21,21.2,25.8,3.672,12.41,54.978,60,41.06666667,246.4,29.325,36.205,3.672,54.978,12.41,60,0.44750496,0.55249504,higher,7.31,5.882
1,f,61-MR,9.566666667,MR10,Exp.3,Risk,,low,fam1,LH,HL,high,19.21,4.76,60,40.7,13.6,4.7,5.1,19.7,9.962,9.928,14.79,9.928,23.96666667,143.8,12.376,9.928,9.962,14.79,9.928,9.928,0.554878049,0.445121951,lower,4.76,19.21
0,m,62-MR,10.3,MR10,Exp.3,Risk,,high,fam1,HL,LH,low,10.948,19.108,60,60,39.5,12.4,11.6,10.8,9.656,9.656,17.238,11.934,32.38333333,194.3,10.795,13.447,9.656,11.934,9.656,17.238,0.445301543,0.554698457,higher,10.948,19.108
0,m,63-MR,10.4,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,13.532,6.052,60,58.6,60,51.1,7,32.3,12.036,26.588,5.474,12.512,44.83333333,269,19.55,8.755,26.588,12.512,12.036,5.474,0.690690691,0.309309309,lower,13.532,6.052
1,m,64-MR,10.33333333,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,16.116,27.336,60,60,47.4,60,13.3,13.1,26.044,18.7,34.136,38.624,42.3,253.8,30.09,28.662,26.044,34.136,18.7,38.624,0.512152778,0.487847222,lower,27.336,16.116
0,m,65-MR,9.866666667,MR10,Exp.3,Risk,,low,fam2,HL,HL,high,22.882,21.624,60,58.1,60,19.2,12.2,10.4,11.73,6.562,16.66,9.01,36.65,219.9,14.195,7.786,11.73,16.66,6.562,9.01,0.645784996,0.354215004,lower,21.624,22.882
1,m,66-MR,10.06666667,MR10,Exp.3,Risk,,high,fam2,LH,LH,low,4.556,4.692,60,60,11.2,20.2,20.2,48.7,31.824,8.364,9.078,21.216,36.71666667,220.3,14.79,20.451,8.364,21.216,31.824,9.078,0.419681621,0.580318379,higher,4.556,4.692
1,f,02-MR,12.93333333,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,9.282,7.14,60,48.3,60,11.8,1.6,13.3,45.05,NA 1.836,59.602,60,32.5,195,52.326,60,45.05,59.602,NA 1.836,60,0.4658405,0.5341595,higher,7.14,9.282
0,f,04-MR,12.7,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,27.2,NA - 6.46,60,19,16.6,17.4,18.9,9.7,19.244,9.565,5.542,11.968,23.6,141.6,10.7665,12.393,9.565,11.968,19.244,5.542,0.46488482,0.53511518,higher,27.2,NA - 6.46
1,m,05-MR,13.5,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,11.324,7.446,60,13.3,28.2,60,15.5,30.8,16.184,3.74,23.834,40.154,34.63333333,207.8,21.947,20.009,3.74,40.154,16.184,23.834,0.523095624,0.476904376,lower,11.324,7.446
0,m,06-MR,13.1,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,21.93,16.082,60,60,47,11.7,23.4,6.9,23.97,NA 3.842,NA 4.862,22.78,34.83333333,209,22.78,23.97,NA 3.842,22.78,23.97,NA 4.862,0.487272727,0.512727273,higher,21.93,16.082
1,m,07-MR,12.7,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,13.294,10.302,60,60,13.1,2.1,2.4,2.2,17.204,16.796,NA 0.952,NA 2.686,23.3,139.8,16.796,17.204,16.796,NA 2.686,17.204,NA 0.952,0.494,0.506,higher,13.294,10.302
0,f,08-MR,12.96666667,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,12.07,11.458,50.2,20.8,10.5,28.3,17.1,6.4,11.628,28.288,24.514,50.0729,22.21666667,133.3,18.071,39.18045,11.628,24.514,28.288,50.0729,0.315642661,0.684357339,higher,11.458,12.07
1,m,09-MR,12.83333333,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,32.606,27.88,60,60,60,60,60,60,48.654,55.25,60,60,60,360,54.327,57.625,48.654,60,55.25,60,0.485270473,0.514729527,higher,27.88,32.606
1,m,10-MR,13.1,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,20.842,21.352,60,44.8,60,38.1,14,28.1,11.594,8.5,9.928,NA - .952,40.83333333,245,8.5,10.761,8.5,NA - .952,11.594,9.928,0.441306267,0.558693733,higher,20.842,21.352
1,m,11-MR,13.4,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,11.118,19.108,60,60,60,60,20,15,12.24,6.256,10.88,10.336,45.83333333,275,11.56,8.296,12.24,10.88,6.256,10.336,0.582191781,0.417808219,lower,19.108,11.118
0,f,14-MR,12.83333333,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,NA - 47.362,26.418,60,60,60,60,20.7,2,NA - 2.482,60,60,60,43.78333333,262.7,60,60,NA - 2.482,60,60,60,0.5,0.5,lower,26.418,NA - 47.362
1,f,16-MR,12.76666667,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,12.07,5.474,60,33,56.6,15.5,30.8,9.3,19.754,6.732,9.656,34.544,34.2,205.2,20.638,14.705,6.732,34.544,19.754,9.656,0.583934584,0.416065416,lower,12.07,5.474
1,m,20-MR,12.83333333,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,18.394,13.464,60,54.5,13.2,12.8,22.9,28.8,18.496,6.22,13.532,NA 4.216,32.03333333,192.2,6.22,16.014,6.22,NA 4.216,18.496,13.532,0.279751732,0.720248268,higher,18.394,13.464
0,f,23-MR,12.73333333,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,3.842,4.182,11.2,11.9,11.9,60,10.1,30.3,21.182,NA 25.398,60,24.99,22.56666667,135.4,24.99,40.591,NA 25.398,24.99,21.182,60,0.381055489,0.618944511,higher,3.842,4.182
0,m,24-MR,12.83333333,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,24.31,35.518,60,60,60,38.5,4.1,11.5,9.35,40.154,5.95,57.8,39.01666667,234.1,7.65,48.977,9.35,5.95,40.154,57.8,0.135094566,0.864905434,higher,35.518,24.31
1,m,25-MR,12.56666667,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,9.01,9.18,50.9,15.1,5.9,19.8,29.1,10.3,15.47,NA - 2.686,7.888,7.684,21.85,131.1,11.679,7.684,15.47,7.888,NA - 2.686,7.684,0.603160667,0.396839333,lower,9.18,9.01
1,f,26-MR,12.56666667,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,14.416,18.87,60,60,60,38.9,41.2,3.3,14.382,18.802,15.776,18.156,43.9,263.4,15.079,18.479,14.382,15.776,18.802,18.156,0.449341439,0.550658561,higher,18.87,14.416
1,m,27-MR,13,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,5.984,11.118,60,38.7,9.9,15.1,13.9,6.5,11.594,11.288,10.302,12.784,24.01666667,144.1,10.948,12.036,11.594,10.302,11.288,12.784,0.476331361,0.523668639,higher,11.118,5.984
0,m,32-MR,13,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,8.874,7.446,19.5,26.7,13.3,20.2,4.6,8.1,9.418,NA - 3.094,8.296,19.72,15.4,92.4,8.857,19.72,9.418,8.296,NA - 3.094,19.72,0.309934563,0.690065437,higher,7.446,8.874
0,f,34-MR,13.4,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,21.998,14.722,60,51.4,22.2,60,60,40.2,47.668,28.254,NA - 2.244,24.684,48.96666667,293.8,47.668,26.469,47.668,NA - 2.244,28.254,24.684,0.642971795,0.357028205,lower,14.722,21.998
0,m,39-MR,12.86666667,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,7.854,9.588,34.1,17.7,11.9,3.6,22.7,14.3,23.052,7.344,NA - 1.36,NA - Fuss,17.38333333,104.3,7.344,23.052,7.344,NA - Fuss,23.052,NA - 1.36,0.241610738,0.758389262,higher,7.854,9.588
1,f,40-MR,12.66666667,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,10.506,7.548,60,23.4,10.7,11.2,12.4,24,20.468,18.054,NA - 4.42,11.662,23.61666667,141.7,14.858,20.468,18.054,11.662,20.468,NA - 4.42,0.420596728,0.579403272,higher,10.506,7.548
0,m,44-MR,12.66666667,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,5.644,4.047,60,17.2,39.6,22.2,12.8,13.6,21.216,23.902,20.706,27.812,27.56666667,165.4,25.857,20.961,23.902,27.812,21.216,20.706,0.552287582,0.447712418,lower,5.644,4.047
1,f,45-MR,13.43333333,MR13,Exp.3,Risk,,high,fam2,LH,LH,low,9.588,8.058,60,60,60,60,60,13.1,54.094,29.478,10.71,24.208,52.18333333,313.1,26.843,32.402,29.478,24.208,54.094,10.71,0.453084648,0.546915352,higher,9.588,8.058
0,f,67-PM,12.76666667,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,6.562,6.154,60,60,3.9,36.9,10.9,16.8,29.682,21.658,6.12,30.498,31.41666667,188.5,17.901,26.078,29.682,6.12,21.658,30.498,0.407035176,0.592964824,higher,6.562,6.154
0,m,48-MR,12.63333333,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,10.914,7.48,49.3,20.6,48.1,3,12.1,19.4,13.566,NA - 4.352,NA - 2.244,19.516,25.41666667,152.5,19.516,13.566,NA - 4.352,19.516,13.566,NA - 2.244,0.589928058,0.410071942,lower,10.914,7.48
1,f,49-MR,12.86666667,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,20.536,20.298,59.5,30.2,3.9,3.4,4.2,2.6,NA - 2.652,NA - 2.618,7.242,31.008,17.3,103.8,7.242,31.008,NA - 2.652,7.242,NA - 2.618,31.008,0.189333333,0.810666667,higher,20.298,20.536
1,m,50-MR,12.53333333,MR13,Exp.3,Risk,,low,fam2,HL,HL,high,9.962,14.654,60,60,35,34,12.5,2.2,8.126,8.636,NA 3.706,NA 2.142,33.95,203.7,8.126,8.636,8.126,NA 3.706,8.636,NA 2.142,0.484787018,0.515212982,higher,14.654,9.962
0,m,54-MR,12.86666667,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,29.614,7.038,42.4,14.5,3.7,5.1,3.4,16.3,23.392,5.066,NA 1.054,NA 3.808,14.23333333,85.4,5.066,23.392,5.066,NA 3.808,23.392,NA 1.054,0.178016726,0.821983274,higher,29.614,7.038
1,m,57-MR,12.66666667,MR13,Exp.3,Risk,,high,fam1,HL,LH,low,39.474,21.216,60,60,57.5,42.2,10.1,12.9,60,43.282,7.888,8.058,40.45,242.7,25.67,33.944,43.282,8.058,60,7.888,0.43060355,0.56939645,higher,39.474,21.216
1,m,59-MR,13.06666667,MR13,Exp.3,Risk,,low,fam1,LH,HL,high,26.792,7.616,60,60,60,60,54.3,4.6,60,46.172,60,48.824,49.81666667,298.9,60,47.498,60,60,46.172,48.824,0.558149919,0.441850081,lower,7.616,26.792
1,f,S5_1,10.3667,RISK10,Exp.2,Risk,right,LV,LH,,,,,,60,60,21.3,3.6,5.5,2.7,24.94,13.03,7.44,9.08,25.51666667,153.1,16.19,11.06,24.94,7.44,13.03,9.08,0.59423747,0.40576253,LV,,
1,f,S5_2,10.3667,RISK10,Exp.2,Risk,left,LV,HL,,,,,,60,53.2,33.2,5.1,8.5,4.8,34.62,41.24,14.73,28.74,27.46666667,164.8,24.68,34.99,34.62,14.73,41.24,28.74,0.41355904,0.58644096,HV,,
1,f,S5_3,10.2667,RISK10,Exp.2,Risk,left,HV,LH,,,,,,60,60,36.5,40.7,30.6,13.4,15.31,33.44,7.82,5.64,40.2,241.2,19.54,11.57,33.44,5.64,15.31,7.82,0.62819482,0.37180518,LV,,
1,m,S5_4,10.3667,RISK10,Exp.2,Risk,right,LV,HL,,,,,,60,60,44.9,11.3,23.9,16.6,13.29,8.58,6.79,3.3,36.11666667,216.7,10.04,5.94,13.29,6.79,8.58,3.3,0.62828536,0.37171464,LV,,
0,m,S5_5,10.1,RISK10,Exp.2,Risk,right,HV,LH,,,,,,60,5.6,60,48.7,2.9,3.9,27.75,16.84,5.66,11.86,30.18333333,181.1,14.35,16.71,16.84,11.86,27.75,5.66,0.4620834,0.5379166,HV,,
0,f,S5_6,10.5333,RISK10,Exp.2,Risk,left,LV,HL,,,,,,60,39.9,15.5,4.8,10.8,7,7,9.88,16.86,15.48,23,138,11.93,12.68,7,16.86,9.88,15.48,0.48476229,0.51523771,HV,,
1,f,S5_7,10.0667,RISK10,Exp.2,Risk,right,LV,LH,,,,,,60,42.5,60,42.1,21.7,22.7,35.42,17.34,12.72,20.34,41.5,249,24.07,18.84,35.42,12.72,17.34,20.34,0.56094151,0.43905849,LV,,
0,f,S5_8,9.7667,RISK10,Exp.2,Risk,right,LV,LH,,,,,,34.9,15.2,4.6,3.1,4.3,6.6,NA,NA,23.87,11.4,11.45,68.7,23.87,11.4,NA,23.87,NA,11.4,0.67677913,0.32322087,LV,,
1,f,S5_9,10.2667,RISK10,Exp.2,Risk,right,HV,HL,,,,,,60,12.3,10.8,32.5,58.7,13.9,7.58,35.76,7.67,13.08,31.36666667,188.2,24.42,7.63,35.76,13.08,7.58,7.67,0.76205336,0.23794664,LV,,
1,m,S5_10,9.9333,RISK10,Exp.2,Risk,left,LV,LH,,,,,,60,60,60,60,14.6,27.8,45.55,8.28,13.88,13.26,47.06666667,282.4,29.72,10.77,45.55,13.88,8.28,13.26,0.73397555,0.26602445,LV,,
1,m,S5_11,10.6333,RISK10,Exp.2,Risk,left,LV,LH,,,,,,60,60,45.8,19.9,20.4,25.7,11.97,9.93,6.78,6.73,38.63333333,231.8,9.38,8.33,11.97,6.78,9.93,6.73,0.52951144,0.47048856,LV,,
1,f,S5_12,10.0667,RISK10,Exp.2,Risk,right,LV,HL,,,,,,23.9,27.2,57,12.9,4.8,60,37.1,24.34,7.87,44.71,30.96666667,185.8,22.49,34.53,37.1,7.87,24.34,44.71,0.39440449,0.60559551,HV,,
0,m,S5_13,9.8,RISK10,Exp.2,Risk,right,HV,LH,,,,,,60,24.7,31.4,21.7,19.5,25.6,60,29.45,35.41,9.88,30.48333333,182.9,19.67,47.71,29.45,9.88,60,35.41,0.2918955,0.7081045,HV,,
0,f,S5_14,10.6,RISK10,Exp.2,Risk,left,HV,LH,,,,,,33.6,60,14.8,23.3,14.3,6.4,9.06,20.53,8.58,14.72,25.4,152.4,17.63,8.82,20.53,14.72,9.06,8.58,0.6664776,0.3335224,LV,,
0,f,S5_15,10.2333,RISK10,Exp.2,Risk,left,LV,HL,,,,,,31.2,6.3,6.3,5.6,3.7,12.8,14.22,8.76,15.34,9.49,10.98333333,65.9,14.78,9.13,14.22,15.34,8.76,9.49,0.61828069,0.38171931,LV,,
0,f,S5_16,9.6,RISK10,Exp.2,Risk,right,LV,LH,,,,,,23.4,8.3,12.2,8.5,3.1,3,7.16,7.32,15.01,7.26,9.75,58.5,11.09,7.29,7.16,15.01,7.32,7.26,0.60326531,0.39673469,LV,,
0,m,S5_17,10.0333,RISK10,Exp.2,Risk,right,HV,HL,,,,,,60,60,53.2,58.5,6.9,3.5,37.22,24.93,16.09,6.8,40.35,242.1,15.87,26.66,24.93,6.8,37.22,16.09,0.37311853,0.62688147,HV,,
0,m,S5_18,10.1667,RISK10,Exp.2,Risk,left,HV,HL,,,,,,60,60,6,14.3,27.2,4.7,19.04,21.22,12.79,7.87,28.7,172.2,14.55,15.92,21.22,7.87,19.04,12.79,0.47751149,0.52248851,HV,,
1,m,S5_19,9.8333,RISK10,Exp.2,Risk,left,HV,HL,,,,,,60,60,60,34.3,21.8,10.3,60,26.16,35.51,12.48,41.06666667,246.4,19.32,47.76,26.16,12.48,60,35.51,0.28803578,0.71196422,HV,,
1,f,S5_20,10.3667,RISK10,Exp.2,Risk,right,HV,HL,,,,,,60,60,29.2,60,48.4,4,25.47,8.33,6.91,6.98,43.6,261.6,7.66,16.19,8.33,6.98,25.47,6.91,0.32103166,0.67896834,HV,,
0,m,S5_21,9.6333,RISK10,Exp.2,Risk,right,LV,HL,,,,,,60,60,35.2,17.9,10.8,21.1,56.8,15.89,4.07,4.19,34.16666667,205,30.44,10.04,56.8,4.07,15.89,4.19,0.75194565,0.24805435,LV,,
0,m,S5_22,10.4667,RISK10,Exp.2,Risk,right,HV,LH,,,,,,60,60,60,27.5,12.4,9.9,16.18,20.07,NA,NA,38.3,229.8,20.07,16.18,20.07,NA,16.18,NA,0.55365517,0.44634483,LV,,
0,m,S5_23,9.6333,RISK10,Exp.2,Risk,left,LV,LH,,,,,,60,25.3,49,12.1,17.7,10.5,25.27,24.22,6.72,37.59,29.1,174.6,16,30.91,25.27,6.72,24.22,37.59,0.34104478,0.65895522,HV,,
0,m,S5_24,10.1,RISK10,Exp.2,Risk,left,HV,LH,,,,,,47.1,60,25.2,12.3,3.5,8.9,12.87,40.06,34.31,24.09,26.16666667,157,32.08,23.59,40.06,24.09,12.87,34.31,0.57621486,0.42378514,LV,,
0,m,S5_25,10.233,RISK10,Exp.2,Risk,right,HV,LH,,,,,,60,60,60,11.3,21.1,10.4,16.84,4.09,NA,NA,37.13333333,222.8,4.09,16.84,4.09,NA,16.84,NA,0.19541328,0.80458672,HV,,
0,m,S5_26,10.0333,RISK10,Exp.2,Risk,left,HV,HL,,,,,,60,60,39.6,32.1,5.1,4.7,17.99,21.39,NA,NA,33.58333333,201.5,21.39,17.99,21.39,NA,17.99,NA,0.54316912,0.45683088,LV,,
0,m,S5_27,10.3,RISK10,Exp.2,Risk,left,LV,HL,,,,,,60,52.8,60,50.1,21.4,14.2,19.92,18.07,8.63,5.69,43.08333333,258.5,14.28,11.88,19.92,8.63,18.07,5.69,0.54578474,0.45421526,LV,,
0,f,S5_28,9.7333,RISK10,Exp.2,Risk,left,HV,LH,,,,,,NA,NA,NA,NA,NA,NA,6.11,25.01,41.03,7.34,NA,NA,16.18,23.57,25.01,7.34,6.11,41.03,0.40696943,0.59303057,HV,,
1,f,S5_29,9.9667,RISK10,Exp.2,Risk,left,HV,HL,,,,,,28.99,20.57,46.76,37.78,40.04,6.85,28.38,15.62,16.46,4.27,30.165,180.99,9.95,22.42,15.62,4.27,28.38,16.46,0.30727638,0.69272362,HV,,
1,m,S5_30,10.4,RISK10,Exp.2,Risk,right,LV,HL,,,,,,59.6,19.4,10.8,4.2,3.7,3.9,9.32,5.42,3.42,13.29,16.93333333,101.6,6.37,9.36,9.32,3.42,5.42,13.29,0.40508744,0.59491256,HV,,
1,f,S5_31,9.8333,RISK10,Exp.2,Risk,left,LV,LH,,,,,,60,60,23.2,42.9,14,22.6,24.65,60,60,12.8,37.11666667,222.7,42.33,36.4,24.65,60,60,12.8,0.53763099,0.46236901,LV,,
1,m,S5_32,10.5667,RISK10,Exp.2,Risk,right,HV,HL,,,,,,60,60,60,60,60,60,39.41,60,19.82,60,60,360,60,29.62,60,60,39.41,19.82,0.66953077,0.33046923,LV,,
1,f,S4_1,12.867,RISK13,Exp.1,Risk,right,LV,LH,,,,,,60,60,52,12.3,12.3,3.5,37.08,23.92,NA,NA,33.35,200.1,37.08,23.92,37.08,NA,23.92,NA,0.60786885,0.39213115,LV,,
0,m,S4_10,13.4,RISK13,Exp.1,Risk,left,LV,LH,,,,,,60,42,15.9,9,17.1,24.4,14.26,8.04,NA,NA,28.07,168.4,14.26,8.04,14.26,NA,8.04,NA,0.63946188,0.36053812,LV,,
1,m,S4_11,13.1,RISK13,Exp.1,Risk,left,LV,LH,,,,,,60,60,60,60,29.9,19.7,13.99,7.04,14.93,23.03,48.27,289.6,14.46,15.04,13.99,14.93,7.04,23.03,0.52927444,0.47072556,HV,,
1,f,S4_12,12.567,RISK13,Exp.1,Risk,right,LV,HL,,,,,,25.7,60,60,4.7,30.8,23.8,12.47,4.01,13.16,3.41,34.17,205,12.82,3.71,12.47,13.16,4.01,3.41,0.775559589,0.224440411,LV,,
1,m,S4_13,13.2,RISK13,Exp.1,Risk,right,HV,LH,,,,,,60,60,23.6,13.6,60,60,32.23,14.2,10.78,29.55,46.2,277.2,21.88,21.51,14.2,29.55,32.23,10.78,0.51927096,0.48072904,LV,,
0,f,S4_14,12.633,RISK13,Exp.1,Risk,left,HV,LH,,,,,,60,60,60,60,30.8,44.6,52.54,33.63,22.56,49.6,52.57,315.4,41.62,37.55,33.63,49.6,52.54,22.56,0.53881823,0.46118177,LV,,
0,f,S4_15,12.6,RISK13,Exp.1,Risk,left,LV,HL,,,,,,60,60,41.8,5.5,6.2,14.5,22.4,8.85,7.58,8.21,31.33,188,14.99,8.53,22.4,7.58,8.85,8.21,0.59842533,0.40157467,LV,,
1,f,S4_16,12.733,RISK13,Exp.1,Risk,right,LV,LH,,,,,,60,60,40.9,22.7,7.3,24.4,28.52,14.68,38.52,3.43,35.88,215.3,33.52,9.06,28.52,38.52,14.68,3.43,0.78921059,0.21078941,LV,,
0,f,S4_17,12.567,RISK13,Exp.1,Risk,right,HV,HL,,,,,,60,60,3.6,19.4,3.7,3.7,25.62,18.54,7.83,4.65,25.07,150.4,11.6,16.73,18.54,4.65,25.62,7.83,0.39621656,0.60378345,HV,,
0,m,S4_18,12.567,RISK13,Exp.1,Risk,left,HV,HL,,,,,,60,7.4,47.7,15.5,8.2,5.1,15.54,12.56,7.33,8.21,23.98,143.9,10.39,11.44,12.56,8.21,15.54,7.33,0.48764456,0.51235544,HV,,
1,m,S4_19,12.567,RISK13,Exp.1,Risk,left,HV,HL,,,,,,60,60,60,38.6,31.6,21.7,54.08,22.14,20.77,19.93,45.32,271.9,21.04,37.43,22.14,19.93,54.08,20.77,0.39007777,0.60992224,HV,,
0,f,S4_2,13.467,RISK13,Exp.1,Risk,left,LV,HL,,,,,,34,15.4,3.8,15.6,23.1,12,16.96,6.85,14.46,22.82,17.32,103.9,15.71,14.84,16.96,14.46,6.85,22.82,0.55009065,0.44990936,LV,,
1,f,S4_20,13.233,RISK13,Exp.1,Risk,right,HV,HL,,,,,,60,30.2,12.1,19,9.4,2.1,35.18,23.23,20.43,8.01,22.13,132.8,15.62,27.81,23.23,8.01,35.18,20.43,0.33967572,0.66032428,HV,,
1,m,S4_21,12.767,RISK13,Exp.1,Risk,right,LV,HL,,,,,,60,43,15.4,6.6,27.3,3.9,13.4,10.34,NA,NA,26.03,156.2,13.4,10.34,13.4,NA,10.34,NA,0.56444819,0.43555181,LV,,
1,m,S4_22,12.767,RISK13,Exp.1,Risk,right,HV,LH,,,,,,38.4,60,34.8,10,4.6,NA,7.2,14.34,NA,NA,29.56,147.8,14.34,7.2,14.34,NA,7.2,NA,0.66573816,0.33426184,LV,,
1,m,S4_23,12.767,RISK13,Exp.1,Risk,left,LV,LH,,,,,,60,58.2,45,9.3,22.2,37.4,60,40.88,11.38,60,38.68,232.1,35.69,50.44,60,11.38,40.88,60,0.37709724,0.62290277,HV,,
0,m,S4_24,12.567,RISK13,Exp.1,Risk,left,HV,LH,,,,,,60,24.52,40.37,28.5,46.22,8.15,60,36.58,18.03,36.59,34.63,207.76,36.59,39.02,36.58,36.59,60,18.03,0.52432725,0.47567275,HV,,
0,m,S4_25,13.1,RISK13,Exp.1,Risk,right,HV,LH,,,,,,60,49.6,33,5.4,60,13.2,60,19.82,25.32,25.07,36.87,221.2,22.45,42.66,19.82,25.07,60,25.32,0.37291402,0.62708598,HV,,
1,m,S4_26,12.767,RISK13,Exp.1,Risk,left,HV,HL,,,,,,60,46.7,39.2,16.4,22.3,13.3,16.71,6.73,9.6,17.75,32.98,197.9,12.24,13.16,6.73,17.75,16.71,9.6,0.46805528,0.53194472,HV,,
1,f,S4_27,12.9,RISK13,Exp.1,Risk,left,LV,HL,,,,,,60,35.4,23.1,18.2,6.6,32.5,5.18,7.87,11.78,11.77,29.3,175.8,8.48,9.82,5.18,11.78,7.87,11.77,0.44857359,0.55142641,HV,,
0,f,S4_28,13.167,RISK13,Exp.1,Risk,left,HV,LH,,,,,,60,60,20.7,11,4,6.1,24.21,60,39.79,60,26.97,161.8,60,32,60,60,24.21,39.79,0.65688355,0.34311645,LV,,
1,f,S4_29,12.6,RISK13,Exp.1,Risk,left,HV,HL,,,,,,48.7,20.7,60,13.9,23.5,12.4,11.49,18.21,27.29,23.61,29.87,179.2,20.91,19.39,18.21,23.61,11.49,27.29,0.538491,0.461509,LV,,
0,f,S4_3,12.833,RISK13,Exp.1,Risk,left,HV,LH,,,,,,51,6.4,16.5,6.4,2.3,2.3,9.88,15.17,29.63,60,14.15,84.9,37.59,19.76,15.17,60,9.88,29.63,0.63750377,0.36249623,LV,,
0,m,S4_30,13.067,RISK13,Exp.1,Risk,right,LV,HL,,,,,,60,33.2,37.8,20.2,53.3,14,33.84,9.02,13.57,8.06,36.42,218.5,23.71,8.54,33.84,13.57,9.02,8.06,0.70845838,0.29154162,LV,,
1,m,S4_31,12.933,RISK13,Exp.1,Risk,left,LV,LH,,,,,,60,60,57.8,43.2,14.2,42.4,60,59.6,45.18,12.32,46.27,277.6,52.59,35.96,60,45.18,59.6,12.32,0.64370569,0.35629431,LV,,
0,f,S4_32,13.1,RISK13,Exp.1,Risk,right,HV,HL,,,,,,35.3,7.2,3,4.3,21.3,11.4,9.05,14.32,NA,NA,13.75,82.5,14.32,9.05,14.32,NA,9.05,NA,0.61275139,0.38724861,LV,,
