"","subj","experiment.x","action","yesno","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","exp","agegroup","looking.to.unexp","LTdiff","age","category","monthsPerformed","yesnoAtStudy"
"40","47","MR13","reaches","yes",12.53333333,12.5,0.484787018,0.515212982,8.126,8.636,"MR","13",0.515212982,0.51,6,"objectdirected",6.53333333,"1"
"41","48","MR10","reaches","yes",10.33333333,10.4,0.416793121,0.583206879,28.016,39.202,"MR","10",0.583206879,11.186,5,"objectdirected",5.33333333,"1"
"42","49","MR13","reaches","yes",12.86666667,12.9,0.178016726,0.821983274,5.066,23.392,"MR","13",0.821983274,18.326,3,"objectdirected",9.86666667,"1"
"43","50","MR10","reaches","yes",10.2,10.8,0.239370079,0.760629921,5.168,16.422,"MR","10",0.760629921,11.254,4,"objectdirected",6.2,"1"
"44","51","MR13","reaches","yes",12.66666667,12.9,0.43060355,0.56939645,25.67,33.944,"MR","13",0.56939645,8.274,5.5,"objectdirected",7.16666667,"1"
"45","52","MR10","reaches","yes",9.533333333,9.5,0.609964413,0.390035587,14.569,9.316,"MR","10",0.390035587,-5.253,3,"objectdirected",6.533333333,"1"
"46","53","MR13","reaches","yes",13.06666667,13.1,0.558149919,0.441850081,60,47.498,"MR","13",0.441850081,-12.502,1,"objectdirected",12.06666667,"1"
"47","54","MR10","reaches","yes",10.46666667,10.5,0.44750496,0.55249504,29.325,36.205,"MR","10",0.55249504,6.88,7.5,"objectdirected",2.966666667,"1"
"48","55","MR10","reaches","yes",9.566666667,9.6,0.554878049,0.445121951,12.376,9.928,"MR","10",0.445121951,-2.448,2,"objectdirected",7.566666667,"1"
"49","56","MR10","reaches","yes",10.3,10.3,0.445301543,0.554698457,10.795,13.447,"MR","10",0.554698457,2.652,3.5,"objectdirected",6.8,"1"
"50","57","MR10","reaches","yes",10.4,10.3,0.690690691,0.309309309,19.55,8.755,"MR","10",0.309309309,-10.795,3.5,"objectdirected",6.9,"1"
"51","58","MR10","reaches","yes",10.33333333,10.3,0.512152778,0.487847222,30.09,28.662,"MR","10",0.487847222,-1.428,4.5,"objectdirected",5.83333333,"1"
"52","59","MR10","reaches","yes",9.866666667,9.9,0.645784996,0.354215004,14.195,7.786,"MR","10",0.354215004,-6.409,8,"objectdirected",1.866666667,"1"
"53","60","MR10","reaches","yes",10.06666667,10.1,0.419681621,0.580318379,14.79,20.451,"MR","10",0.580318379,5.661,7,"objectdirected",3.06666667,"1"
"54","61",NA,"reaches","yes",NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"objectdirected",NA,NA
"55","62",NA,"reaches","yes",NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"objectdirected",NA,NA
"56","63",NA,"reaches","yes",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,4,"objectdirected",NA,NA
"57","64",NA,"reaches","yes",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,6,"objectdirected",NA,NA
"58","65",NA,"reaches","yes",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,3,"objectdirected",NA,NA
"59","66",NA,"reaches","yes",NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"objectdirected",NA,NA
"60","69","RISK10","reaches","yes",10.2667,22.1,0.62819482,0.37180518,19.54,11.57,"RISK","10",0.62819482,7.97,NA,"objectdirected",NA,NA
