RN,excluded_mr_risk,subject_ID,Study,date of survey,dob,age at survey,reaches_y.n,reaches,rolls_y.n,rolls,sits_y.n,sits,crawls_y.n,crawls,handtohand_y.n,handtohand,strangerdanger_y.n,strangerdanger,waves_y.n,waves,points_y.n,points,pullstand_y.n,pullstand,pincer_y.n,pincer,hiddensearch_y.n,hiddensearch,stands_y.n,stands,cruises_y.n,cruises,fearheights_y.n,fearheights,walks_y.n,walks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115600,0,21-ZF,RISK,11/19/18,5/13/16,30.2,Yes,5.00,Yes,6.00,Yes,6.50,Yes,14.00,Yes,6.00,NO,,Yes,12.00,Yes,7.00,Yes,10.00,Yes,8.00,Yes,8.00,Yes,10.50,Yes,10.50,Yes,,Yes,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129060,0,7-NC,RISKr,11/19/18,2/12/17,21.2,Yes,4.50,Yes,4.00,Yes,5.50,Yes,8.00,Yes,6.00,Yes,,Yes,12.00,Yes,12.00,Yes,10.00,Yes,6.00,Yes,12.00,Yes,12.00,Yes,10.50,Yes,,Yes,13.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130451,0,8-OBS,RISKr,11/19/18,2/23/17,20.9,Yes,3.00,Yes,4.00,Yes,4.00,Yes,6.00,Yes,7.00,Yes,10.00,Yes,11.00,Yes,11.00,Yes,6.50,Yes,10.00,Yes,11.00,Yes,12.00,Yes,11.00,Yes,15.00,Yes,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183674,0,22-JD,RISKr,11/19/18,3/4/17,20.5,Yes,4.00,Yes,5.00,Yes,5.00,Yes,8.00,Yes,11.00,Yes,14.00,Yes,12.00,Yes,9.00,Yes,10.00,Yes,,Yes,7.00,Yes,10.00,Yes,9.00,Yes,16.00,Yes,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425831,0,28-AM,RISKr,11/19/18,5/19/17,18.0,Yes,4.00,Yes,2.00,Yes,7.00,Yes,10.00,Yes,12.00,Yes,14.00,Yes,13.00,Yes,12.00,Yes,9.00,Yes,13.00,Yes,12.00,Yes,11.00,Yes,9.00,Yes,9.00,Yes,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558495,0,35-NH,MR,11/20/18,1/21/18,10.0,Yes,4.15,Yes,5.15,Yes,7.15,NO,,Yes,,NO,,NO,,NO,,NO,,Yes,,Yes,9.00,NO,,NO,,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558736,0,36-HN,MR,11/20/18,1/29/18,9.7,Yes,4.00,Yes,3.00,Yes,6.00,Yes,7.00,Yes,8.00,Yes,9.00,Yes,9.00,Yes,9.00,Yes,9.00,Yes,8.00,Yes,7.00,NO,,Yes,9.00,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562074,0,34-WX,MR,11/20/18,10/8/17,13.4,Yes,5.00,NO,4.00,Yes,7.00,Yes,11.00,Yes,12.00,Yes,10.00,Yes,9.00,Yes,8.00,Yes,10.00,Yes,7.00,Yes,11.00,NO,,Yes,11.00,Yes,9.00,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111859,0,31-EK,RISK,11/20/18,5/21/16,30.0,Yes,2.25,Yes,3.25,Yes,7.00,Yes,10.00,Yes,3.50,Yes,12.00,Yes,10.00,Yes,6.00,Yes,9.00,Yes,,Yes,8.00,Yes,13.00,Yes,11.00,Yes,,Yes,13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115520,0,20-MDH,RISK,11/20/18,6/24/16,28.9,Yes,3.50,Yes,4.50,Yes,8.00,Yes,6.50,Yes,,NO,,Yes,11.00,Yes,8.00,Yes,7.00,Yes,,Yes,,Yes,10.00,Yes,8.00,NO,,Yes,10.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124391,0,9-JR,RISK,11/20/18,5/15/16,30.2,Yes,8.00,Yes,3.50,Yes,5.50,Yes,4.00,Yes,6.50,Yes,8.00,Yes,10.00,Yes,10.00,Yes,8.00,Yes,6.75,Yes,8.00,Yes,9.50,Yes,9.00,NO,,Yes,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558434,0,37-SR,MR,11/21/18,1/19/18,10.1,Yes,4.00,Yes,7.00,Yes,7.00,Yes,9.00,Yes,8.00,NO,,Yes,6.00,Yes,9.00,Yes,9.00,Yes,5.00,Yes,9.00,NO,,Yes,10.00,NO,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
