"","subj","experiment.x","age.at.study","age.at.survey","prop.lower","prop.higher","avg.lower","avg.higher","crawls","cruises","fearheights","handtohand","hiddensearch","pincer","points","pullstand","reaches","rolls","sits","stands","strangerdanger","walks","waves","exp","agegroup","looking.to.unexp","LTdiff"
"91","91","RISK10",10.233,19.2,0.19541328,0.80458672,4.09,16.84,9.57,11.97,10.6,8.13,14,11.27,14,11.2,6.83,5.97,7.27,12.2,9.07,12,11.1,"RISK","10",0.19541328,-12.75
"92","92","RISK10",10.0333,21.6,0.54316912,0.45683088,21.39,17.99,8.308375,12,11.0344827586207,7,9,7,14,10,10,6,6,11,18,12,12,"RISK","10",0.54316912,3.4
"93","93","RISK10",10.3,19.2,0.54578474,0.45421526,14.28,11.88,10.8,10.8,12,9.6,13.6,13.2,14.4,13.2,7.2,4.8,8.4,13.2,7.2,12,13.2,"RISK","10",0.54578474,2.4
"94","94","RISK10",9.7333,18,0.40696943,0.59303057,16.18,23.57,10,9,9,12,12,13,12,9,4,2,7,11,14,13,13,"RISK","10",0.40696943,-7.39
"95","95","RISK10",9.9667,17.5157303370787,0.30727638,0.69272362,9.95,22.42,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","10",0.30727638,-12.47
"96","96","RISK10",10.4,22.7,0.40508744,0.59491256,6.37,9.36,8.308375,13,11.0344827586207,6.89676470588235,9.25785714285714,15,9.95285714285714,12,4.27025641025641,4.47481927710843,6.15823529411765,12,8.89421052631579,14,9.61527777777778,"RISK","10",0.40508744,-2.99
"97","97","RISK10",9.8333,18.8,0.53763099,0.46236901,42.33,36.4,9,10,9,4,5,6,12,9,2,4,8,12,9,12,10,"RISK","10",0.53763099,5.93
"98","98","RISK10",10.5667,18.9,0.66953077,0.33046923,60,29.62,9,8,7,8,11,9,14,7,4,4,7,9,8,13,11,"RISK","10",0.66953077,30.38
"99","99","RISK13",12.867,17.5157303370787,0.60786885,0.39213115,37.08,23.92,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","13",0.60786885,13.16
"100","100","RISK13",13.4,33.7,0.63946188,0.36053812,14.26,8.04,8.4,10.8,8.4,6,7.2,7.2,5.4,8.4,2.4,3,4.08,10.8,8.89421052631579,13.2,6,"RISK","13",0.63946188,6.22
"101","101","RISK13",13.1,17.5157303370787,0.52927444,0.47072556,14.46,15.04,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","13",0.52927444,-0.579999999999998
"102","102","RISK13",12.567,17.5157303370787,0.77544058,0.22455942,12.82,3.71,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","13",0.77544058,9.11
"103","103","RISK13",13.2,31.1,0.51927096,0.48072904,21.88,21.51,8,10,11.0344827586207,10,18,14,14,10,8,6,8,11,8.89421052631579,11,8,"RISK","13",0.51927096,0.369999999999997
"104","104","RISK13",12.633,30.1,0.53881823,0.46118177,41.62,37.55,10,12,12,6,10,12,6,11,1,1,6,12,6,13.2,8,"RISK","13",0.53881823,4.07
"105","105","RISK13",12.6,30.2,0.59842533,0.40157467,14.99,8.53,8,11,16,2,7,5,7,11,2,5,6.5,11,12,12,9,"RISK","13",0.59842533,6.46
"106","106","RISK13",12.733,17.5157303370787,0.78921059,0.21078941,33.52,9.06,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","13",0.78921059,24.46
"107","107","RISK13",12.567,17.5157303370787,0.39621656,0.60378345,11.6,16.73,8.308375,10.1546835443038,11.0344827586207,6.89676470588235,9.25785714285714,8.4372602739726,9.95285714285714,9.09294871794872,4.27025641025641,4.47481927710843,6.15823529411765,10.6788059701493,8.89421052631579,12.0907142857143,9.61527777777778,"RISK","13",0.39621656,-5.13
