event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,99275,106205,"shallow",0,105215,106205,"lessthan2",0,99275,121220,"intro",
1,106810,113740,"medium",1,106810,106920,"lessthan2",1,125730,187825,"fam1",
2,114345,121220,"deep",2,125730,126005,"lessthan2",2,191840,243760,"fam2",
3,125730,133320,"deep_no",3,130845,132220,"lessthan2",3,248380,294360,"*fam3",
4,133925,143275,"medium_yes",4,133925,134200,"lessthan2",4,298100,318230,"*fam4",
5,143880,151525,"medium_no",5,149270,150590,"lessthan2",5,321860,349030,"*fam5",
6,152075,161425,"shallow_yes",6,156970,158290,"lessthan2",6,352495,368830,"fam6",
7,162030,169620,"deep_no",7,160930,161425,"lessthan2",,,,,
8,170280,179630,"medium_yes",8,162030,162250,"lessthan2",,,,,
9,180180,187825,"medium_no",9,184690,187825,"2ormore",,,,,
10,191840,201190,"shallow_yes",10,197010,197670,"lessthan2",,,,,
11,201795,209440,"medium_no",11,236445,237490,"lessthan2",,,,,
12,210045,219395,"medium_yes",12,241230,243760,"2ormore",,,,,
13,220000,227590,"deep_no",13,255420,255695,"lessthan2",,,,,
14,228195,237490,"shallow_yes",14,271810,273350,"lessthan2",,,,,
15,238150,243760,"*medium_no",15,282150,284130,"lessthan2",,,,,
16,248380,255970,"deep_no",16,290895,292325,"lessthan2",,,,,
17,256575,265925,"medium_yes",17,298100,298430,"lessthan2",,,,,
18,266530,274175,"medium_no",18,313170,314105,"lessthan2",,,,,
19,274780,284130,"shallow_yes",19,314930,315755,"lessthan2",,,,,
20,284735,292325,"deep_no",20,321860,322080,"lessthan2",,,,,
21,298100,307450,"shallow_yes",21,326810,327580,"lessthan2",,,,,
22,308110,315755,"medium_no",22,333410,336710,"morethan2",,,,,
23,321860,329450,"deep_no",23,344630,344960,"lessthan2",,,,,
24,330110,336710,"medium_yes",24,345675,347655,"lessthan2",,,,,
25,340010,347655,"medium_no",25,352495,352770,"lessthan2",,,,,
26,352495,361790,"shallow_yes",26,361680,361790,"lessthan2",,,,,
27,362450,368775,"*medium_no",27,365475,368775,"2ormore",,,,,
