event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,68541,75405,"shallow",0,250371,251020,"lessthan2",0,68541,90486,"intro",
1,76032,82962,"medium",1,253671,254892,"lessthan2",1,95073,156651,"fam1",
2,83556,90486,"deep",2,272118,273768,"lessthan2",2,160314,221529,"fam2",
3,95073,102729,"deep_no",3,274956,277596,"morethan2",3,225258,277596,"fam3",
4,103290,112662,"medium_yes",4,294261,296340,"morethan2",4,282051,296340,"fam4",
5,113256,120912,"medium_no",5,321123,321717,"lessthan2",5,301125,326535,"fam5",
6,121506,130812,"shallow_yes",6,323136,326535,"morethan2",6,330264,336699,"fam6",
7,131406,139029,"deep_no",7,333333,336699,"morethan2",,,,,
8,139623,148995,"medium_yes",,,,,,,,,
9,149589,156651,"medium_no",,,,,,,,,
10,160314,169565,"shallow_yes",,,,,,,,,
11,170170,177815,"medium_no",,,,,,,,,
12,178420,187770,"medium_yes",,,,,,,,,
13,188375,195965,"deep_no",,,,,,,,,
14,196625,205920,"shallow_yes",,,,,,,,,
15,206525,214115,"medium_no",,,,,,,,,
16,214731,221496,"*medium_yes",,,,,,,,,
17,225258,232815,"deep_no",,,,,,,,,
18,233475,242770,"medium_yes",,,,,,,,,
19,243375,251020,"medium_no",,,,,,,,,
20,251680,260920,"shallow_yes",,,,,,,,,
21,261580,269170,"deep_no",,,,,,,,,
22,269775,277596,"medium_yes",,,,,,,,,
23,282051,291335,"shallow_yes",,,,,,,,,
24,291984,296340,"*medium_no",,,,,,,,,
25,301125,308715,"deep_no",,,,,,,,,
26,309320,318670,"medium_yes",,,,,,,,,
27,319275,326535,"medium_no",,,,,,,,,
28,330264,336699,"*shallow_yes",,,,,,,,,
