event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,123915,130680,"shallow",0,131340,131725,"lessthan2",0,123915,145750,"intro",
1,131340,138215,"medium",1,243265,243650,"lessthan2",1,150590,213015,"fam1",
2,138875,145750,"deep",2,258335,258720,"lessthan2",2,216810,279015,"fam2",
3,150590,159885,"shallow_yes",3,260150,260865,"lessthan2",3,283415,309210,"fam3",
4,160490,168135,"medium_no",4,306735,309210,"morethan2",4,313885,329560,"fam4",
5,168685,178090,"medium_yes",5,326975,329560,"morethan2",5,334125,395285,"fam5",
6,178640,186285,"deep_no",6,431475,433125,"lessthan2",6,398970,461065,"fam6",
7,186945,196185,"shallow_yes",7,442310,442805,"lessthan2",,,,,
8,196845,204490,"medium_no",,,,,,,,,
9,205040,213015,"medium_yes",,,,,,,,,
10,216810,224455,"deep_no",,,,,,,,,
11,225115,234410,"medium_yes",,,,,,,,,
12,235015,242660,"medium_no",,,,,,,,,
13,243265,252560,"shallow_yes",,,,,,,,,
14,253220,260865,"deep_no",,,,,,,,,
15,261415,270765,"medium_yes",,,,,,,,,
16,271370,279015,"medium_no",,,,,,,,,
17,283415,292765,"shallow_yes",,,,,,,,,
18,293370,300960,"medium_no",,,,,,,,,
19,301620,309210,"medium_yes",,,,,,,,,
20,313885,321530,"deep_no",,,,,,,,,
21,322080,329560,"medium_yes",,,,,,,,,
22,334125,343420,"shallow_yes",,,,,,,,,
23,344025,351615,"medium_no",,,,,,,,,
24,352275,361570,"medium_yes",,,,,,,,,
25,362230,369820,"deep_no",,,,,,,,,
26,370480,379720,"shallow_yes",,,,,,,,,
27,380380,387970,"medium_no",,,,,,,,,
28,388630,395285,"medium_yes",,,,,,,,,
29,398970,406560,"deep_no",,,,,,,,,
30,407220,416515,"medium_yes",,,,,,,,,
31,417175,424765,"medium_no",,,,,,,,,
32,425370,434720,"shallow_yes",,,,,,,,,
33,435270,442915,"deep_no",,,,,,,,,
34,443520,452815,"medium_yes",,,,,,,,,
35,453420,461065,"medium_no",,,,,,,,,
