event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,123849,130680,"shallow",0,182127,183315,"lessthan2",0,123849,145761,"intro",
1,131307,138270,"medium_",1,197725,198880,"lessthan2",1,149919,205370,"fam1",
2,138897,145761,"deep",2,221650,222915,"lessthan2",2,209055,233475,"fam2",
3,149919,157509,"deep_no",3,229845,233475,"morethan2",3,237138,301785,"fam3",
4,158136,167442,"medium_yes",4,296505,298320,"lessthan2",4,305316,322850,"fam4",
5,168069,175725,"medium_no",5,312180,312455,"lessthan2",5,327030,354530,"*fam5",
6,176319,185658,"shallow_yes",6,320375,322850,"morethan2",6,358149,374275,"fam6",
7,186252,193842,"deep_no",7,340340,340670,"lessthan2",,,,,
8,194469,203808,"medium_yes",8,341715,341990,"lessthan2",,,,,
9,204435,205370,"*medium_no",9,343915,344025,"lessthan2",,,,,
10,209055,218394,"shallow_yes",10,351230,352825,"lessthan2",,,,,
11,218955,226578,"medium_no",11,362945,363605,"lessthan2",,,,,
12,227260,233475,"*medium_yes",12,371085,374275,"morethan2",,,,,
13,237138,244761,"deep_no",,,,,,,,,
14,245355,254727,"medium_yes",,,,,,,,,
15,255288,262911,"medium_no",,,,,,,,,
16,263538,272877,"shallow_yes",,,,,,,,,
17,273471,281094,"deep_no",,,,,,,,,
18,281688,291060,"medium_yes",,,,,,,,,
19,291654,299277,"medium_no",,,,,,,,,
20,299915,301785,"*shallow_yes",,,,,,,,,
21,305316,314655,"shallow_yes",,,,,,,,,
22,315216,322850,"medium_no",,,,,,,,,
23,327030,334587,"deep_no",,,,,,,,,
24,335214,344553,"medium_yes",,,,,,,,,
25,345114,352825,"medium_no",,,,,,,,,
26,353430,354530,"*shallow_yes",,,,,,,,,
27,358149,367488,"shallow_yes",,,,,,,,,
28,368115,374275,"*medium_no",,,,,,,,,
