event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,103840,110715,"shallow",0,108955,110715,"lessthan2",0,103840,125785,"intro",
1,111320,118305,"medium",1,301345,301730,"lessthan2",1,130350,193215,"fam1",
2,118910,125785,"deep",2,314215,315865,"lessthan2",2,196845,258280,"fam2",
3,130350,139700,"shallow_yes",3,332640,333905,"lessthan2",3,261965,317570,"*fam3",
4,140250,147950,"medium_no",4,334345,336380,"morethan2",4,321200,336380,"fam4",
5,148555,157850,"medium_yes",5,353100,356455,"morethan2",5,341110,356455,"fam5",
6,158455,166155,"deep_no",6,363220,366520,"morethan2",6,360085,366520,"fam6",
7,166705,176000,"shallow_yes",,,,,,,,,
8,176605,184250,"medium_no",,,,,,,,,
9,184910,193215,"medium_yes",,,,,,,,,
10,196845,204435,"deep_no",,,,,,,,,
11,205040,214445,"medium_yes",,,,,,,,,
12,215050,222695,"medium_no",,,,,,,,,
13,223245,232595,"shallow_yes",,,,,,,,,
14,233145,240790,"deep_no",,,,,,,,,
15,241450,250745,"medium_yes",,,,,,,,,
16,251350,258280,"medium_no",,,,,,,,,
17,261965,271260,"shallow_yes",,,,,,,,,
18,271865,279510,"medium_no",,,,,,,,,
19,280170,289465,"medium_yes",,,,,,,,,
20,290070,297660,"deep_no",,,,,,,,,
21,298320,307615,"shallow_yes",,,,,,,,,
22,308220,315865,"medium_no",,,,,,,,,
23,321200,328790,"deep_no",,,,,,,,,
24,329395,336380,"medium_yes",,,,,,,,,
25,341110,350515,"shallow_yes",,,,,,,,,
26,351120,356455,"*medium_no",,,,,,,,,
27,360085,366520,"deep_no",,,,,,,,,
