event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,169686,176605,"shallow",0,172722,173349,"lessthan2",0,169686,191631,"intro",
1,177177,184074,"medium",1,175263,176605,"lessthan2",1,195921,257730,"fam1",
2,184701,191631,"deep",2,185427,185625,"lessthan2",2,261459,306405,"fam2",
3,195921,203544,"deep_no",3,280599,281160,"lessthan2",3,311157,328680,"fam3",
4,204171,213510,"medium_yes",4,303930,306405,"morethan2",4,333003,341330,"fam4",
5,214104,221760,"medium_no",5,324291,324555,"lessthan2",5,346335,381370,"fam5",
6,222354,231660,"shallow_yes",6,326007,328680,"morethan2",6,385110,392260,"fam6",
7,232254,239877,"deep_no",7,337689,338184,"lessthan2",,,,,
8,240537,249843,"medium_yes",8,338943,341330,"morethan2",,,,,
9,250437,257730,"medium_no",9,347875,349525,"lessthan2",,,,,
10,261459,270765,"shallow_yes",10,357500,359095,"lessthan2",,,,,
11,271359,278982,"medium_no",11,370205,371140,"lessthan2",,,,,
12,279609,288915,"medium_yes",12,371855,372185,"lessthan2",,,,,
13,289509,297198,"deep_no",13,378015,381370,"morethan2",,,,,
14,297792,306405,"shallow_yes",14,387585,388355,"lessthan2",,,,,
15,311157,318747,"deep_no",15,389125,392260,"morethan2",,,,,
16,319341,328680,"medium_yes",,,,,,,,,
17,333003,341330,"shallow_yes",,,,,,,,,
18,346335,353991,"deep_no",,,,,,,,,
19,354585,363957,"medium_yes",,,,,,,,,
20,364518,372185,"medium_no",,,,,,,,,
21,372768,381370,"shallow_yes",,,,,,,,,
22,385110,392260,"shallow_yes",,,,,,,,,
