event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,84480,91344,"shallow",0,90618,91278,"lessthan2",0,84480,106425,"intro",
1,91938,98901,"medium",1,185493,185691,"lessthan2",1,110649,173580,"fam1",
2,99495,106425,"deep",2,215886,216843,"lessthan2",2,177243,239382,"fam2",
3,110649,119955,"shallow_yes",3,218691,219021,"lessthan2",3,244332,290037,"*fam3",
4,120582,128238,"medium_no",4,225357,225918,"lessthan2",4,293755,319550,"fam4",
5,128832,138138,"medium_yes",5,282590,283745,"lessthan2",5,323829,334840,"*fam5",
6,138765,146421,"deep_no",6,286440,288255,"lessthan2",6,338481,369875,"fam6",
7,146982,156288,"shallow_yes",7,316305,319550,"morethan2",,,,,
8,156915,164505,"medium_no",8,328845,329615,"lessthan2",,,,,
9,165165,173580,"medium_yes",9,332420,333080,"lessthan2",,,,,
10,177243,184866,"deep_no",10,342320,343310,"lessthan2",,,,,
11,185493,194832,"medium_yes",11,355575,356125,"lessthan2",,,,,
12,195393,203049,"medium_no",12,356675,356950,"lessthan2",,,,,
13,203643,212982,"shallow_yes",13,366575,369875,"morethan2",,,,,
14,213543,221232,"deep_no",,,,,,,,,
15,221793,231165,"medium_yes",,,,,,,,,
16,231726,239382,"medium_no",,,,,,,,,
17,244332,253605,"shallow_yes",,,,,,,,,
18,254265,261888,"medium_no",,,,,,,,,
19,262449,271821,"medium_yes",,,,,,,,,
20,272382,280038,"deep_no",,,,,,,,,
21,280665,290037,"shallow_yes",,,,,,,,,
22,293755,301323,"deep_no",,,,,,,,,
23,301884,311322,"medium_yes",,,,,,,,,
24,311916,319550,"medium_no",,,,,,,,,
25,323829,333080,"shallow_yes",,,,,,,,,
26,338481,346104,"deep_no",,,,,,,,,
27,346698,356125,"medium_yes",,,,,,,,,
28,356675,364320,"medium_no",,,,,,,,,
29,364870,369875,"*shallow_yes",,,,,,,,,
