event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,78342,85239,"shallow",0,237270,238425,"lessthan2",0,78342,100320,"intro",
1,85866,92829,"medium",1,238975,239690,"lessthan2",1,104445,166980,"fam1",
2,93423,100320,"deep",2,261305,262515,"lessthan2",2,170885,232375,"fam2",
3,104445,113740,"shallow_yes",3,263010,263615,"lessthan2",3,236115,305250,"fam3",
4,114345,121990,"medium_no",4,271150,271920,"lessthan2",4,309155,358985,"fam4",
5,122650,131890,"medium_yes",5,272470,272525,"lessthan2",5,362505,378785,"fam5",
6,132550,140195,"deep_no",6,273350,274670,"lessthan2",6,383570,435380,"fam6",
7,140745,150095,"shallow_yes",7,276980,278355,"lessthan2",,,,,
8,150645,158345,"medium_no",8,301510,303215,"lessthan2",,,,,
9,158950,166980,"medium_yes",9,323620,324170,"lessthan2",,,,,
10,170885,178420,"deep_no",10,329340,330825,"lessthan2",,,,,
11,179080,188430,"medium_yes",11,351780,353045,"lessthan2",,,,,
12,189035,196625,"medium_no",12,353705,354970,"lessthan2",,,,,
13,197230,206525,"shallow_yes",13,355520,358985,"morethan2",,,,,
14,207185,214720,"deep_no",14,376090,378785,"morethan2",,,,,
15,215380,224730,"medium_yes",15,393250,393855,"lessthan2",,,,,
16,225335,232375,"medium_no",16,397045,397540,"lessthan2",,,,,
17,236115,245465,"shallow_yes",17,398035,398750,"lessthan2",,,,,
18,246070,253715,"medium_no",18,407715,408320,"lessthan2",,,,,
19,254320,263615,"medium_yes",19,409970,410025,"lessthan2",,,,,
20,264275,271920,"deep_no",20,415030,415525,"lessthan2",,,,,
21,272470,281820,"shallow_yes",21,422070,423500,"lessthan2",,,,,
22,282425,290070,"medium_no",22,430100,431035,"lessthan2",,,,,
23,290675,300025,"medium_yes",23,432740,435380,"morethan2",,,,,
24,300630,305250,"*deep_no",,,,,,,,,
25,309155,316745,"deep_no",,,,,,,,,
26,317350,326645,"medium_yes",,,,,,,,,
27,327305,334895,"medium_no",,,,,,,,,
28,335500,344850,"shallow_yes",,,,,,,,,
29,345455,353045,"deep_no",,,,,,,,,
30,353705,358985,"*medium_yes",,,,,,,,,
31,362505,371855,"shallow_yes",,,,,,,,,
32,372460,378785,"medium_no",,,,,,,,,
33,383570,391160,"deep_no",,,,,,,,,
34,391820,401115,"medium_yes",,,,,,,,,
35,401720,409365,"medium_no",,,,,,,,,
36,409970,419320,"shallow_yes",,,,,,,,,
37,419925,427515,"deep_no",,,,,,,,,
38,428120,435380,"medium_yes",,,,,,,,,
