event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,216975,223905,"shallow",0,232045,232540,"lessthan2",0,216975,238920,"intro",
1,224510,231440,"medium",1,280555,281930,"lessthan2",1,243265,306504,"*fam1",
2,232045,238920,"deep",2,286055,287320,"lessthan2",2,310200,348645,"fam2",
3,243265,250910,"deep_no",3,287815,288255,"lessthan2",3,352440,379555,"fam3",
4,251515,260810,"medium_yes",4,339020,340945,"lessthan2",4,383240,408265,"fam4",
5,261415,269060,"medium_no",5,344740,346005,"lessthan2",5,412115,421685,"fam5",
6,269665,279015,"shallow_yes",6,346610,347490,"lessthan2",6,425370,463320,"*fam6",
7,279675,287320,"deep_no",7,366410,367235,"lessthan2",,,,,
8,287815,297165,"medium_yes",8,375925,378180,"2ormore",,,,,
9,297770,305415,"medium_no",9,378840,379555,"lessthan2",,,,,
10,305976,306504,"shallow_yes",10,389015,390390,"lessthan2",,,,,
11,310200,319605,"shallow_yes",11,398310,399080,"lessthan2",,,,,
12,320210,327800,"medium_no",12,400070,400840,"lessthan2",,,,,
13,328405,337700,"medium_yes",13,401445,401995,"lessthan2",,,,,
14,338360,346005,"deep_no",14,404635,408265,"2ormore",,,,,
15,346610,348645,"*shallow_yes",15,418275,419760,"lessthan2",,,,,
16,352440,360030,"deep_no",16,431145,432245,"lessthan2",,,,,
17,360635,369985,"medium_yes",17,449570,450780,"lessthan2",,,,,
18,370535,378180,"medium_no",18,459525,461120,"lessthan2",,,,,
19,378840,379555,"*shallow_yes",,,,,,,,,
20,383240,392590,"shallow_yes",,,,,,,,,
21,393140,400840,"medium_no",,,,,,,,,
22,401445,408265,"*medium_yes",,,,,,,,,
23,412115,419760,"deep_no",,,,,,,,,
24,425370,434665,"shallow_yes",,,,,,,,,
25,435270,442915,"medium_no",,,,,,,,,
26,443575,452925,"medium_yes",,,,,,,,,
27,453475,461120,"deep_no",,,,,,,,,
