event.ordinal,event.onset,event.offset,event.depth_yesno,off.ordinal,off.onset,off.offset,off.lessthan2_2ormore,trial.ordinal,trial.onset,trial.offset,trial.famX,
0,89463,96360,"shallow",0,129415,129965,"lessthan2",0,89463,111408,"intro",
1,96954,103917,"medium",1,130405,131065,"lessthan2",1,115665,180895,"fam1",
2,104511,111408,"deep",2,142065,142230,"lessthan2",2,184437,220990,"fam2",
3,115665,123255,"deep_no",3,156860,158455,"lessthan2",3,225093,240350,"fam3",
4,123882,133221,"medium_yes",4,177320,177760,"lessthan2",4,245025,268400,"fam4",
5,133815,141405,"medium_no",5,198495,199980,"lessthan2",5,273207,286715,"fam5",
6,142065,151338,"shallow_yes",6,200915,201960,"lessthan2",6,310805,316030,"fam6",
7,151998,159588,"deep_no",7,218350,220990,"morethan2",,,,,
8,160182,169521,"medium_yes",8,228195,229515,"lessthan2",,,,,
9,170115,177760,"medium_no",9,238315,240350,"morethan2",,,,,
10,178365,180895,"*shallow_yes",10,247060,248215,"lessthan2",,,,,
11,184437,193743,"shallow_yes",11,260370,261250,"lessthan2",,,,,
12,194337,201960,"medium_no",12,266200,268400,"morethan2",,,,,
13,202554,211926,"medium_yes",13,280170,280830,"lessthan2",,,,,
14,212520,220990,"deep_no",14,284130,286715,"morethan2",,,,,
15,225093,232683,"deep_no",15,312620,316030,"morethan2",,,,,
16,233310,240350,"medium_yes",,,,,,,,,
17,245025,254298,"shallow_yes",,,,,,,,,
18,254925,262548,"medium_no",,,,,,,,,
19,263109,268400,"medium_yes",,,,,,,,,
20,273207,280830,"deep_no",,,,,,,,,
21,281435,286715,"*medium_yes",,,,,,,,,
22,310805,316030,"*shallow_yes",,,,,,,,,
