subj,experiment.orig,experiment.paper,experiment.new,trial,orig.look,trialn,secondary.look,coder
01-MR,MR10,Exp4.Study2,min.peril.10,test1,47.26,1,47.26,Caitlin
01-MR,MR10,Exp4.Study2,min.peril.10,test2,60,2,60,Caitlin
01-MR,MR10,Exp4.Study2,min.peril.10,test3,60,3,60,Caitlin
01-MR,MR10,Exp4.Study2,min.peril.10,test4,60,4,60,Caitlin
12-MR,MR10,Exp4.Study2,min.peril.10,test1,16.388,1,16.388,Caitlin
12-MR,MR10,Exp4.Study2,min.peril.10,test2,16.388,2,16.388,Caitlin
12-MR,MR10,Exp4.Study2,min.peril.10,test3,32.504,3,32.538,Caitlin
12-MR,MR10,Exp4.Study2,min.peril.10,test4,13.668,4,13.77,Caitlin
19-MR,MR10,Exp4.Study2,min.peril.10,test1,60,1,60,Caitlin
19-MR,MR10,Exp4.Study2,min.peril.10,test2,60,2,60,Caitlin
19-MR,MR10,Exp4.Study2,min.peril.10,test3,1.292,3,1.36,Caitlin
19-MR,MR10,Exp4.Study2,min.peril.10,test4,1.088,4,1.394,Caitlin
21-MR,MR10,Exp4.Study2,min.peril.10,test1,39.848,1,39.882,Caitlin
21-MR,MR10,Exp4.Study2,min.peril.10,test2,60,2,60,Caitlin
21-MR,MR10,Exp4.Study2,min.peril.10,test3,60,3,60,Caitlin
21-MR,MR10,Exp4.Study2,min.peril.10,test4,32.776,4,32.776,Caitlin
29-MR,MR10,Exp4.Study2,min.peril.10,test1,9.792,1,11.764,Caitlin
29-MR,MR10,Exp4.Study2,min.peril.10,test2,11.288,2,11.628,Caitlin
29-MR,MR10,Exp4.Study2,min.peril.10,test3,5.746,3,5.746,Caitlin
29-MR,MR10,Exp4.Study2,min.peril.10,test4,3.808,4,3.842,Caitlin
35-MR,MR10,Exp4.Study2,min.peril.10,test1,60,1,60,Caitlin
35-MR,MR10,Exp4.Study2,min.peril.10,test2,17.918,2,17.952,Caitlin
35-MR,MR10,Exp4.Study2,min.peril.10,test3,44.71,3,46.002,Caitlin
35-MR,MR10,Exp4.Study2,min.peril.10,test4,17.578,4,14.722,Caitlin
41-MR,MR10,Exp4.Study2,min.peril.10,test1,3.06,1,3.332,Caitlin
41-MR,MR10,Exp4.Study2,min.peril.10,test2,60,2,60,Caitlin
41-MR,MR10,Exp4.Study2,min.peril.10,test3,45.73,3,49.437,Caitlin
41-MR,MR10,Exp4.Study2,min.peril.10,test4,19.89,4,21.012,Caitlin
42-MR,MR10,Exp4.Study2,min.peril.10,test1,16.218,1,16.966,Caitlin
42-MR,MR10,Exp4.Study2,min.peril.10,test2,23.494,2,24.718,Caitlin
42-MR,MR10,Exp4.Study2,min.peril.10,test3,10.472,3,10.132,Caitlin
42-MR,MR10,Exp4.Study2,min.peril.10,test4,10.2,4,9.894,Caitlin
58-MR,MR10,Exp4.Study2,min.peril.10,test1,14.62,1,15.538,Caitlin
58-MR,MR10,Exp4.Study2,min.peril.10,test2,8.636,2,8.636,Caitlin
58-MR,MR10,Exp4.Study2,min.peril.10,test3,14.518,3,14.552,Caitlin
58-MR,MR10,Exp4.Study2,min.peril.10,test4,9.996,4,10.982,Caitlin
60-MR,MR10,Exp4.Study2,min.peril.10,test1,3.672,1,3.706,Caitlin
60-MR,MR10,Exp4.Study2,min.peril.10,test2,12.41,2,12.716,Caitlin
60-MR,MR10,Exp4.Study2,min.peril.10,test3,54.978,3,54.57,Caitlin
60-MR,MR10,Exp4.Study2,min.peril.10,test4,60,4,60,Caitlin
61-MR,MR10,Exp4.Study2,min.peril.10,test1,9.962,1,9.282,Caitlin
61-MR,MR10,Exp4.Study2,min.peril.10,test2,9.928,2,9.928,Caitlin
61-MR,MR10,Exp4.Study2,min.peril.10,test3,14.79,3,12.24,Caitlin
61-MR,MR10,Exp4.Study2,min.peril.10,test4,9.928,4,9.928,Caitlin
64-MR,MR10,Exp4.Study2,min.peril.10,test1,26.044,1,27.336,Caitlin
64-MR,MR10,Exp4.Study2,min.peril.10,test2,18.7,2,18.972,Caitlin
64-MR,MR10,Exp4.Study2,min.peril.10,test3,34.136,3,34.238,Caitlin
64-MR,MR10,Exp4.Study2,min.peril.10,test4,38.624,4,40.766,Caitlin
66-MR,MR10,Exp4.Study2,min.peril.10,test1,31.824,1,31.994,Caitlin
66-MR,MR10,Exp4.Study2,min.peril.10,test2,8.364,2,8.87,Caitlin
66-MR,MR10,Exp4.Study2,min.peril.10,test3,9.078,3,8.636,Caitlin
66-MR,MR10,Exp4.Study2,min.peril.10,test4,21.216,4,20.23,Caitlin
02-MR,MR13,Exp2,min.peril.13,test1,45.05,1,44.914,Caitlin
02-MR,MR13,Exp2,min.peril.13,test2,1.836,2,1.87,Caitlin
02-MR,MR13,Exp2,min.peril.13,test3,59.602,3,59.67,Caitlin
02-MR,MR13,Exp2,min.peril.13,test4,60,4,60,Caitlin
05-MR,MR13,Exp2,min.peril.13,test1,16.184,1,16.184,Caitlin
05-MR,MR13,Exp2,min.peril.13,test2,3.74,2,3.774,Caitlin
05-MR,MR13,Exp2,min.peril.13,test3,23.834,3,24.14,Caitlin
05-MR,MR13,Exp2,min.peril.13,test4,40.154,4,41.06,Caitlin
07-MR,MR13,Exp2,min.peril.13,test1,17.204,1,17.374,Caitlin
07-MR,MR13,Exp2,min.peril.13,test2,16.796,2,17,Caitlin
07-MR,MR13,Exp2,min.peril.13,test3,0.952,3,0.952,Caitlin
07-MR,MR13,Exp2,min.peril.13,test4,2.686,4,2.754,Caitlin
09-MR,MR13,Exp2,min.peril.13,test1,48.654,1,47.396,Caitlin
09-MR,MR13,Exp2,min.peril.13,test2,55.25,2,55.862,Caitlin
09-MR,MR13,Exp2,min.peril.13,test3,60,3,60,Caitlin
09-MR,MR13,Exp2,min.peril.13,test4,60,4,60,Caitlin
10-MR,MR13,Exp2,min.peril.13,test1,11.594,1,11.628,Caitlin
10-MR,MR13,Exp2,min.peril.13,test2,8.5,2,8.5,Caitlin
10-MR,MR13,Exp2,min.peril.13,test3,9.928,3,9.962,Caitlin
10-MR,MR13,Exp2,min.peril.13,test4,0.952,4,0.952,Caitlin
11-MR,MR13,Exp2,min.peril.13,test1,12.24,1,12.206,Caitlin
11-MR,MR13,Exp2,min.peril.13,test2,6.256,2,6.29,Caitlin
11-MR,MR13,Exp2,min.peril.13,test3,10.88,3,10.166,Caitlin
11-MR,MR13,Exp2,min.peril.13,test4,10.336,4,10.336,Caitlin
16-MR,MR13,Exp2,min.peril.13,test1,19.754,1,19.788,Caitlin
16-MR,MR13,Exp2,min.peril.13,test2,6.732,2,6.698,Caitlin
16-MR,MR13,Exp2,min.peril.13,test3,9.656,3,9.146,Caitlin
