,reliability,sex,subj,agem,experiment,exp,cost,video_quality,audio_quality,device,highchair,HV_side,first_test,first_fam,first_test_deeper_side,control_deeper_side,control_firstevent,control_1,control_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,testavg_lower,testavg_higher,lower1,lower2,higher1,higher2,control_shallow,control_deep
23,0,f,10m_23,10.26,MR3,Exp.3b,Risk,5,5,laptop,0,C,shallow,fam1,left,left,shallow,21.948,9.362,60,60,60,60,60,60,43.71,16.306,8.432,19.034,60,360,26.071,17.67,43.71,8.432,16.306,19.034,21.948,9.362
27,0,f,10m_27,10.2,MR3,Exp.3b,Risk,5,5,laptop,0,C,shallow,fam1,left,left,shallow,17.98,7.688,59.69,60,NA_3.658,57.458,35.402,51.708,13.888,13.516,NA_7.502,NA_2.418,52.8516,264.258,13.888,13.516,13.888,NA_7.502,13.516,NA_2.418,17.98,7.688
31,1,f,10m_31,9.9,MR3,Exp.3b,Risk,4,4,laptop,0,C,shallow,fam1,left,left,shallow,9.92,10.23,60,57.458,23.746,31.186,12.524,15.252,43.462,7.192,31.248,14.694,33.361,200.166,37.355,10.943,43.462,31.248,7.192,14.694,9.92,10.23
35,0,f,10m_35,10.06,MR3,Exp.3b,Risk,5,5,laptop,0,C,shallow,fam1,left,left,shallow,12.4,3.596,NA_63.054,13.268,58.016,31,18.538,NA_15.19,NA_19.406,NA_13.764,8.122,6.51,30.2055,120.822,8.122,6.51,NA_19.406,8.122,NA_13.764,6.51,12.4,3.596
39,0,f,10m_39,10.03,MR3,Exp.3b,Risk,5,5,laptop,0,C,shallow,fam1,left,left,shallow,19.107,39.927,60,60,58.449,59.01,56.106,37.587,25.41,15.048,NA_31.152,NA_2.673,55.192,331.152,25.41,15.048,25.41,NA_31.152,15.048,NA_2.673,19.107,39.927
4,0,m,10m_4,10.03,MR3,Exp.3b,Risk,5,5,ipad,0,D,deep,fam2,left,left,deep,24.366,8.37,NA_21.39,7.564,40.424,12.648,32.302,52.018,14.694,16.616,13.64,5.89,28.9912,144.956,11.253,14.167,16.616,5.89,14.694,13.64,8.37,19.107
8,0,m,10m_8,10.5,MR3,Exp.3b,Risk,5,5,laptop,1,D,deep,fam2,left,left,deep,14.446,22.444,60,56.9,11.532,14.322,10.974,38.192,9.796,8.68,14.322,17.236,31.98666667,191.92,12.958,12.059,8.68,17.236,9.796,14.322,22.444,24.366
12,1,m,10m_12,9.7,MR3,Exp.3b,Risk,5,4,laptop,0,D,deep,fam2,left,left,deep,9.672,6.386,55.66,24.118,59.504,49.6,7.192,NA_7.316,17.98,13.888,NA_9.486,NA_8.246,39.2148,196.074,13.888,17.98,13.888,NA_8.246,17.98,NA_9.486,6.386,14.446
16,1,m,10m_16,9.63,MR3,Exp.3b,Risk,5,5,laptop,1,D,deep,fam2,left,left,deep,17.112,15.252,28.272,58.574,33.542,12.896,26.598,NA_3.596,9.92,19.344,NA_20.894,NA_15.004,31.9764,159.882,19.344,9.92,19.344,NA_15.004,9.92,NA_20.894,15.252,9.672
20,0,m,10m_20,9.9,MR3,Exp.3b,Risk,5,5,laptop,1,D,deep,fam2,left,left,deep,6.882,6.014,11.284,4.092,2.666,22.692,10.602,21.39,9.424,24.118,8.246,7.068,12.121,72.726,15.593,8.835,24.118,7.068,9.424,8.246,6.014,17.112
24,1,f,10m_24,10.53,MR3,Exp.3b,Risk,5,5,ipad,0,D,deep,fam2,left,left,deep,NA_27.28,NA_7.936,60,58.14,31,18.972,8.928,16.802,31.744,19.22,12.648,38.75,32.307,193.842,28.985,22.196,19.22,38.75,31.744,12.648,NA_7.936,6.882
28,1,f,10m_28,10.36,MR3,Exp.3b,Risk,5,4,laptop,0,D,deep,fam2,left,left,deep,NA_10.044,NA_5.766,60,NA_48.98,60,14.074,12.648,21.886,19.84,9.672,NA_18.476,NA_20.77,33.7216,168.608,9.672,19.84,9.672,NA_20.77,19.84,NA_18.476,NA_5.766,NA_27.28
32,1,f,10m_32,10.23,MR3,Exp.3b,Risk,5,5,laptop,0,D,deep,fam2,left,left,deep,11.844,5.146,57.784,NA_15.872,NA_5.146,29.326,42.904,20.832,9.176,5.828,3.844,3.41,37.7115,150.846,4.619,6.51,5.828,3.41,9.176,3.844,5.146,NA_10.044
36,0,f,10m_36,10.13,MR3,Exp.3b,Risk,5,5,ipad,0,D,deep,fam2,left,left,deep,10.912,21.39,37.2,19.406,58.636,19.158,9.486,9.114,8.618,13.268,8.68,22.382,25.5,153,17.825,8.649,13.268,22.382,8.618,8.68,21.39,11.844
40,0,m,10m_40,10.8,MR3,Exp.3b,Risk,5,4.5,laptop,0,D,deep,fam2,left,left,deep,15.004,7.006,34.41,NA_5.89,45.88,27.9,29.822,12.214,NA_21.018,NA_5.084,28.148,5.766,30.0452,150.226,5.766,28.148,NA_5.084,5.766,NA_21.018,28.148,7.006,10.912
