,reliability,sex,subj,agem,experiment,exp,cost,video_quality,audio_quality,device,highchair,HV_side,first_test,first_fam,first_test_deeper_side,control_deeper_side,control_firstevent,control_1,control_2,fam1,fam2,fam3,fam4,fam5,fam6,test1,test2,test3,test4,avg_fam,sum_fam,testavg_lower,testavg_higher,lower1,lower2,higher1,higher2,control_shallow,control_deep
,,m,S3_30,9.933,LUTS.Exp.3,,Gap,,,,,left,HV,HL,,,,,,60,60,60,60,40.02,60,28.2,24.52,11.1,6.88,56.67,340.02,15.7,19.65,24.52,6.88,28.2,11.1,,
,,f,S3_31,9.6,LUTS.Exp.3,,Gap,,,,,right,LV,LH,,,,,,60,7.6,4.7,7.5,2.9,27,26.35,25.16,25.12,9.93,18.28,109.7,25.74,17.55,26.35,25.12,25.16,9.93,,
,,f,S3_32,9.733,LUTS.Exp.3,,Gap,,,,,left,HV,LH,,,,,,60,60,60,60,60,25.1,23.38,8.5,8.32,11.9,54.18,325.1,10.2,15.85,8.5,11.9,23.38,8.32,,
,,m,S3_4,9.867,LUTS.Exp.3,,Gap,,,,,left,LV,HL,,,,,,47.7,16.2,4.2,32.5,4.5,6.3,19.18,24.32,12.55,12.64,18.57,111.4,15.87,18.48,19.18,12.55,24.32,12.64,,
,,f,S3_5,10.167,LUTS.Exp.3,,Gap,,,,,right,LV,HL,,,,,,60,60,30.7,14.2,25.6,13,35.96,7.51,12.77,14.45,33.92,203.5,24.37,10.98,35.96,12.77,7.51,14.45,,
,,m,S3_6,10.2,LUTS.Exp.3,,Gap,,,,,right,HV,LH,,,,,,60,6.5,18.5,38,27.8,37.6,48.52,5.26,5.77,25.96,31.4,188.4,15.61,27.15,5.26,25.96,48.52,5.77,,
,,f,S3_7,9.6,LUTS.Exp.3,,Gap,,,,,right,LV,HL,,,,,,60,13.1,14.8,60,3.3,60,34.82,9.62,9.11,9.4,35.2,211.2,21.97,9.51,34.82,9.11,9.62,9.4,,
,,m,S3_8,10.1,LUTS.Exp.3,,Gap,,,,,left,LV,HL,,,,,,60,60,60,30.2,26.1,12.9,45.11,6.83,18.42,4.12,41.53,249.2,31.77,5.48,45.11,18.42,6.83,4.12,,
,,f,S3_9,10.233,LUTS.Exp.3,,Gap,,,,,right,LV,LH,,,,,,60,60,60,60,50.3,60,60,18.66,32.45,13.85,58.38,350.3,46.23,16.26,60,32.45,18.66,13.85,,
,1,f,01-MR,10.06666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,26.15,20.77,58.7,60,60,23.6,60,34,47.26,60,60,60,49.38,296.3,53.63,60,47.26,60,60,60,20.77,26.15
,0,m,03-MR,10.06666667,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,4.59,6.36,60,60,18,11.7,60,60,55.15,9.18,7.31,5,44.95,269.7,31.23,7.09,55.15,7.31,9.18,5,6.36,4.59
,1,f,12-MR,10.33333333,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,14.55,20.77,60,60,23.1,5.2,23.8,13.8,NA - 16.388,16.39,32.5,13.67,30.98,185.9,15.03,32.5,16.39,13.67,NA - 16.388,32.5,14.55,20.77
,0,f,13-MR,10.06666667,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,5.37,5.68,60,60,60,60,60,60,15.1,16.29,9.45,NA - 3.468,60,360,12.27,16.29,15.1,9.45,16.29,NA - 3.468,5.68,5.37
,0,m,15-MR,9.8,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,14.99,11.02,60,60,60,52.5,6.4,3,31.12,5.81,NA - 3.604,NA - 2.108,40.32,241.9,5.81,31.12,5.81,NA - 2.108,31.12,NA - 3.604,14.99,11.02
,0,f,17-MR,10.26666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,10.2,18.19,14.3,11.7,5.9,6.4,6.9,7.1,29.44,31.62,5.41,22.54,8.72,52.3,17.43,27.08,29.44,5.41,31.62,22.54,18.19,10.2
,0,m,18-MR,9.666666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,9.76,8.4,60,23.7,19.1,19.5,4.4,7.3,9.28,21.25,8.36,8.7,22.33,134,8.82,14.98,9.28,8.36,21.25,8.7,8.4,9.76
,1,m,19-MR,10.3,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,16.97,53.69,60,60,60,60,60,23,60,60,NA - 1.292,NA - 1.088,53.83,323,60,60,60,NA - 1.292,60,NA - 1.088,53.69,16.97
,1,m,21-MR,9.466666667,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,22,3.2,60,60,60,60,33.8,28.2,39.85,60,60,32.78,50.33,302,46.39,49.92,60,32.78,39.85,60,22,3.2
,0,f,22-MR,9.466666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,10,23.36,60,60,60,21.3,10.3,3.2,6.66,6.39,NA - 2.72,NA - 2.788,35.8,214.8,6.66,6.39,6.66,NA - 2.72,6.39,NA - 2.788,23.36,10
,0,f,28-MR,10.26666667,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,9.62,39.27,60,60,19.3,60,40.3,7.4,NA - 2.21,8.19,14.01,7.04,41.17,247,7.62,14.01,8.19,7.04,NA - 2.21,14.01,9.62,39.27
,1,f,29-MR,9.8,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,13.23,14.55,48.9,31.8,4.4,4.1,11.8,8.1,9.79,11.29,5.75,NA - 3.808,18.18,109.1,7.77,11.29,9.79,5.75,11.29,NA - 3.808,14.55,13.23
,0,f,30-MR,9.566666667,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,19.28,8.23,60,35.1,11.4,31.5,3.3,2.8,40.83,12.95,15.16,12.07,24.02,144.1,12.51,28,12.95,12.07,40.83,15.16,19.28,8.23
,1,f,35-MR,9.966666667,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,13.02,12.58,14.2,24.8,60,60,59,60,60,17.92,44.71,17.58,46.33,278,17.75,52.36,17.92,17.58,60,44.71,13.02,12.58
,0,f,36-MR,9.7,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,10.47,5.76,60,44.9,40,17.1,3.8,3.3,5.13,NA-4.046,19.18,10,28.18,169.1,12.16,10,5.13,19.18,NA-4.046,10,5.76,10.47
,0,f,37-MR,10.06666667,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,11.29,5.78,60,60,55.2,32.2,19.4,8.6,6.56,4.69,16.32,20.3,39.23,235.4,12.5,11.44,4.69,20.3,6.56,16.32,11.29,5.78
,0,m,38-MR,8.966666667,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,5.85,4.39,21.8,13.5,11.9,7,4.4,28.5,11.49,40.43,9.66,NA - 2.822,14.52,87.1,10.57,40.43,11.49,9.66,40.43,NA - 2.822,4.39,5.85
,1,f,41-MR,9.933333333,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,9.35,7.62,43.2,60,21.1,22.2,29.9,6.6,NA-3.06,60,45.73,19.89,30.5,183,39.95,45.73,60,19.89,NA-3.06,45.73,9.35,7.62
,1,m,42-MR,9.866666667,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,19.89,12,60,60,26.5,21.2,31,11.7,16.22,23.49,10.47,10.2,35.07,210.4,16.85,13.35,23.49,10.2,16.22,10.47,19.89,12
,0,f,43-MR,9.833333333,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,26.01,14.25,60,49.9,60,40.8,57.8,14.2,28.46,60,25.51,10.88,47.12,282.7,35.44,26.99,60,10.88,28.46,25.51,26.01,14.25
,0,f,53-MR,10.33333333,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,17.65,6.83,60,16.2,46.4,57,22.7,5.5,19.52,NA - 4.182,36.52,39.2,34.63,207.8,28.02,39.2,19.52,36.52,NA - 4.182,39.2,6.83,17.65
,0,f,55-MR,10.2,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,11.9,6.94,60,24.4,4.9,23.3,23.9,5.4,14.55,5.17,18.29,Fuss out,23.65,141.9,5.17,16.42,5.17,Fuss out,14.55,18.29,11.9,6.94
,1,m,58-MR,9.533333333,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,16.32,10.3,60,60,12,16.1,25.9,5.5,14.62,8.64,14.52,10,29.92,179.5,14.57,9.32,14.62,14.52,8.64,10,10.3,16.32
,1,f,60-MR,10.46666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,5.88,7.31,60,60,58.4,21,21.2,25.8,3.67,12.41,54.98,60,41.07,246.4,29.33,36.21,3.67,54.98,12.41,60,7.31,5.88
,1,f,61-MR,9.566666667,MR10,Exp.2b,Risk,,,,,,shallow,fam1,right,left,deep,19.21,4.76,60,40.7,13.6,4.7,5.1,19.7,9.96,9.93,14.79,9.93,23.97,143.8,12.38,9.93,9.96,14.79,9.93,9.93,4.76,19.21
,0,m,62-MR,10.3,MR10,Exp.2b,Risk,,,,,,deep,fam1,left,right,shallow,10.95,19.11,60,60,39.5,12.4,11.6,10.8,9.66,9.66,17.24,11.93,32.38,194.3,10.8,13.45,9.66,11.93,9.66,17.24,10.95,19.11
,0,m,63-MR,10.4,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,13.53,6.05,60,58.6,60,51.1,7,32.3,12.04,26.59,5.47,12.51,44.83,269,19.55,8.76,26.59,12.51,12.04,5.47,13.53,6.05
,1,m,64-MR,10.33333333,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,16.12,27.34,60,60,47.4,60,13.3,13.1,26.04,18.7,34.14,38.62,42.3,253.8,30.09,28.66,26.04,34.14,18.7,38.62,27.34,16.12
,0,m,65-MR,9.866666667,MR10,Exp.2b,Risk,,,,,,shallow,fam2,left,left,deep,22.88,21.62,60,58.1,60,19.2,12.2,10.4,11.73,6.56,16.66,9.01,36.65,219.9,14.2,7.79,11.73,16.66,6.56,9.01,21.62,22.88
,1,m,66-MR,10.06666667,MR10,Exp.2b,Risk,,,,,,deep,fam2,right,right,shallow,4.56,4.69,60,60,11.2,20.2,20.2,48.7,31.82,8.36,9.08,21.22,36.72,220.3,14.79,20.45,8.36,21.22,31.82,9.08,4.56,4.69
,1,f,02-MR,12.93333333,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,9.28,7.14,60,48.3,60,11.8,1.6,13.3,45.05,NA 1.836,59.6,60,32.5,195,52.33,60,45.05,59.6,NA 1.836,60,7.14,9.28
,0,f,04-MR,12.7,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,27.2,NA - 6.46,60,19,16.6,17.4,18.9,9.7,19.24,9.57,5.54,11.97,23.6,141.6,10.77,12.39,9.57,11.97,19.24,5.54,27.2,NA - 6.46
,1,m,05-MR,13.5,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,11.32,7.45,60,13.3,28.2,60,15.5,30.8,16.18,3.74,23.83,40.15,34.63,207.8,21.95,20.01,3.74,40.15,16.18,23.83,11.32,7.45
,0,m,06-MR,13.1,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,21.93,16.08,60,60,47,11.7,23.4,6.9,23.97,NA 3.842,NA 4.862,22.78,34.83,209,22.78,23.97,NA 3.842,22.78,23.97,NA 4.862,21.93,16.08
,1,m,07-MR,12.7,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,13.29,10.3,60,60,13.1,2.1,2.4,2.2,17.2,16.8,NA 0.952,NA 2.686,23.3,139.8,16.8,17.2,16.8,NA 2.686,17.2,NA 0.952,13.29,10.3
,0,f,08-MR,12.96666667,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,12.07,11.46,50.2,20.8,10.5,28.3,17.1,6.4,11.63,28.29,24.51,50.07,22.22,133.3,18.07,39.18,11.63,24.51,28.29,50.07,11.46,12.07
,1,m,09-MR,12.83333333,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,32.61,27.88,60,60,60,60,60,60,48.65,55.25,60,60,60,360,54.33,57.63,48.65,60,55.25,60,27.88,32.61
,1,m,10-MR,13.1,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,20.84,21.35,60,44.8,60,38.1,14,28.1,11.59,8.5,9.93,NA - .952,40.83,245,8.5,10.76,8.5,NA - .952,11.59,9.93,20.84,21.35
,1,m,11-MR,13.4,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,11.12,19.11,60,60,60,60,20,15,12.24,6.26,10.88,10.34,45.83,275,11.56,8.3,12.24,10.88,6.26,10.34,19.11,11.12
,0,f,14-MR,12.83333333,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,NA - 47.362,26.42,60,60,60,60,20.7,2,NA - 2.482,60,60,60,43.78,262.7,60,60,NA - 2.482,60,60,60,26.42,NA - 47.362
,1,f,16-MR,12.76666667,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,12.07,5.47,60,33,56.6,15.5,30.8,9.3,19.75,6.73,9.66,34.54,34.2,205.2,20.64,14.71,6.73,34.54,19.75,9.66,12.07,5.47
,1,m,20-MR,12.83333333,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,18.39,13.46,60,54.5,13.2,12.8,22.9,28.8,18.5,6.22,13.53,NA 4.216,32.03,192.2,6.22,16.01,6.22,NA 4.216,18.5,13.53,18.39,13.46
,0,f,23-MR,12.73333333,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,3.84,4.18,11.2,11.9,11.9,60,10.1,30.3,21.18,NA 25.398,60,24.99,22.57,135.4,24.99,40.59,NA 25.398,24.99,21.18,60,3.84,4.18
,0,m,24-MR,12.83333333,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,24.31,35.52,60,60,60,38.5,4.1,11.5,9.35,40.15,5.95,57.8,39.02,234.1,7.65,48.98,9.35,5.95,40.15,57.8,35.52,24.31
,1,m,25-MR,12.56666667,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,9.01,9.18,50.9,15.1,5.9,19.8,29.1,10.3,15.47,NA - 2.686,7.89,7.68,21.85,131.1,11.68,7.68,15.47,7.89,NA - 2.686,7.68,9.18,9.01
,1,f,26-MR,12.56666667,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,14.42,18.87,60,60,60,38.9,41.2,3.3,14.38,18.8,15.78,18.16,43.9,263.4,15.08,18.48,14.38,15.78,18.8,18.16,18.87,14.42
,1,m,27-MR,13,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,5.98,11.12,60,38.7,9.9,15.1,13.9,6.5,11.59,11.29,10.3,12.78,24.02,144.1,10.95,12.04,11.59,10.3,11.29,12.78,11.12,5.98
,0,m,32-MR,13,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,8.87,7.45,19.5,26.7,13.3,20.2,4.6,8.1,9.42,NA - 3.094,8.3,19.72,15.4,92.4,8.86,19.72,9.42,8.3,NA - 3.094,19.72,7.45,8.87
,0,f,34-MR,13.4,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,22,14.72,60,51.4,22.2,60,60,40.2,47.67,28.25,NA - 2.244,24.68,48.97,293.8,47.67,26.47,47.67,NA - 2.244,28.25,24.68,14.72,22
,0,m,39-MR,12.86666667,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,7.85,9.59,34.1,17.7,11.9,3.6,22.7,14.3,23.05,7.34,NA - 1.36,NA - Fuss,17.38,104.3,7.34,23.05,7.34,NA - Fuss,23.05,NA - 1.36,7.85,9.59
,1,f,40-MR,12.66666667,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,10.51,7.55,60,23.4,10.7,11.2,12.4,24,20.47,18.05,NA - 4.42,11.66,23.62,141.7,14.86,20.47,18.05,11.66,20.47,NA - 4.42,10.51,7.55
,0,m,44-MR,12.66666667,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,5.64,4.05,60,17.2,39.6,22.2,12.8,13.6,21.22,23.9,20.71,27.81,27.57,165.4,25.86,20.96,23.9,27.81,21.22,20.71,5.64,4.05
,1,f,45-MR,13.43333333,MR13,Exp.2,Risk,,,,,,deep,fam2,right,right,shallow,9.59,8.06,60,60,60,60,60,13.1,54.09,29.48,10.71,24.21,52.18,313.1,26.84,32.4,29.48,24.21,54.09,10.71,9.59,8.06
,0,f,67-PM,12.76666667,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,6.56,6.15,60,60,3.9,36.9,10.9,16.8,29.68,21.66,6.12,30.5,31.42,188.5,17.9,26.08,29.68,6.12,21.66,30.5,6.56,6.15
,0,m,48-MR,12.63333333,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,10.91,7.48,49.3,20.6,48.1,3,12.1,19.4,13.57,NA - 4.352,NA - 2.244,19.52,25.42,152.5,19.52,13.57,NA - 4.352,19.52,13.57,NA - 2.244,10.91,7.48
,1,f,49-MR,12.86666667,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,20.54,20.3,59.5,30.2,3.9,3.4,4.2,2.6,NA - 2.652,NA - 2.618,7.24,31.01,17.3,103.8,7.24,31.01,NA - 2.652,7.24,NA - 2.618,31.01,20.3,20.54
,1,m,50-MR,12.53333333,MR13,Exp.2,Risk,,,,,,shallow,fam2,left,left,deep,9.96,14.65,60,60,35,34,12.5,2.2,8.13,8.64,NA 3.706,NA 2.142,33.95,203.7,8.13,8.64,8.13,NA 3.706,8.64,NA 2.142,14.65,9.96
,0,m,54-MR,12.86666667,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,29.61,7.04,42.4,14.5,3.7,5.1,3.4,16.3,23.39,5.07,NA 1.054,NA 3.808,14.23,85.4,5.07,23.39,5.07,NA 3.808,23.39,NA 1.054,29.61,7.04
,1,m,57-MR,12.66666667,MR13,Exp.2,Risk,,,,,,deep,fam1,left,right,shallow,39.47,21.22,60,60,57.5,42.2,10.1,12.9,60,43.28,7.89,8.06,40.45,242.7,25.67,33.94,43.28,8.06,60,7.89,39.47,21.22
,1,m,59-MR,13.06666667,MR13,Exp.2,Risk,,,,,,shallow,fam1,right,left,deep,26.79,7.62,60,60,60,60,54.3,4.6,60,46.17,60,48.82,49.82,298.9,60,47.5,60,60,46.17,48.82,7.62,26.79
,1,f,S5_1,10.3667,RISK10,Exp.1b,Risk,,,,,right,LV,LH,,,,,,60,60,21.3,3.6,5.5,2.7,24.94,13.03,7.44,9.08,25.52,153.1,16.19,11.06,24.94,7.44,13.03,9.08,,
,1,f,S5_2,10.3667,RISK10,Exp.1b,Risk,,,,,left,LV,HL,,,,,,60,53.2,33.2,5.1,8.5,4.8,34.62,41.24,14.73,28.74,27.47,164.8,24.68,34.99,34.62,14.73,41.24,28.74,,
,1,f,S5_3,10.2667,RISK10,Exp.1b,Risk,,,,,left,HV,LH,,,,,,60,60,36.5,40.7,30.6,13.4,15.31,33.44,7.82,5.64,40.2,241.2,19.54,11.57,33.44,5.64,15.31,7.82,,
,1,m,S5_4,10.3667,RISK10,Exp.1b,Risk,,,,,right,LV,HL,,,,,,60,60,44.9,11.3,23.9,16.6,13.29,8.58,6.79,3.3,36.12,216.7,10.04,5.94,13.29,6.79,8.58,3.3,,
,0,m,S5_5,10.1,RISK10,Exp.1b,Risk,,,,,right,HV,LH,,,,,,60,5.6,60,48.7,2.9,3.9,27.75,16.84,5.66,11.86,30.18,181.1,14.35,16.71,16.84,11.86,27.75,5.66,,
,0,f,S5_6,10.5333,RISK10,Exp.1b,Risk,,,,,left,LV,HL,,,,,,60,39.9,15.5,4.8,10.8,7,7,9.88,16.86,15.48,23,138,11.93,12.68,7,16.86,9.88,15.48,,
,1,f,S5_7,10.0667,RISK10,Exp.1b,Risk,,,,,right,LV,LH,,,,,,60,42.5,60,42.1,21.7,22.7,35.42,17.34,12.72,20.34,41.5,249,24.07,18.84,35.42,12.72,17.34,20.34,,
,0,f,S5_8,9.7667,RISK10,Exp.1b,Risk,,,,,right,LV,LH,,,,,,34.9,15.2,4.6,3.1,4.3,6.6,NA,NA,23.87,11.4,11.45,68.7,23.87,11.4,NA,23.87,NA,11.4,,
,1,f,S5_9,10.2667,RISK10,Exp.1b,Risk,,,,,right,HV,HL,,,,,,60,12.3,10.8,32.5,58.7,13.9,7.58,35.76,7.67,13.08,31.37,188.2,24.42,7.63,35.76,13.08,7.58,7.67,,
,1,m,S5_10,9.9333,RISK10,Exp.1b,Risk,,,,,left,LV,LH,,,,,,60,60,60,60,14.6,27.8,45.55,8.28,13.88,13.26,47.07,282.4,29.72,10.77,45.55,13.88,8.28,13.26,,
,1,m,S5_11,10.6333,RISK10,Exp.1b,Risk,,,,,left,LV,LH,,,,,,60,60,45.8,19.9,20.4,25.7,11.97,9.93,6.78,6.73,38.63,231.8,9.38,8.33,11.97,6.78,9.93,6.73,,
,1,f,S5_12,10.0667,RISK10,Exp.1b,Risk,,,,,right,LV,HL,,,,,,23.9,27.2,57,12.9,4.8,60,37.1,24.34,7.87,44.71,30.97,185.8,22.49,34.53,37.1,7.87,24.34,44.71,,
,0,m,S5_13,9.8,RISK10,Exp.1b,Risk,,,,,right,HV,LH,,,,,,60,24.7,31.4,21.7,19.5,25.6,60,29.45,35.41,9.88,30.48,182.9,19.67,47.71,29.45,9.88,60,35.41,,
,0,f,S5_14,10.6,RISK10,Exp.1b,Risk,,,,,left,HV,LH,,,,,,33.6,60,14.8,23.3,14.3,6.4,9.06,20.53,8.58,14.72,25.4,152.4,17.63,8.82,20.53,14.72,9.06,8.58,,
,0,f,S5_15,10.2333,RISK10,Exp.1b,Risk,,,,,left,LV,HL,,,,,,31.2,6.3,6.3,5.6,3.7,12.8,14.22,8.76,15.34,9.49,10.98,65.9,14.78,9.13,14.22,15.34,8.76,9.49,,
,0,f,S5_16,9.6,RISK10,Exp.1b,Risk,,,,,right,LV,LH,,,,,,23.4,8.3,12.2,8.5,3.1,3,7.16,7.32,15.01,7.26,9.75,58.5,11.09,7.29,7.16,15.01,7.32,7.26,,
,0,m,S5_17,10.0333,RISK10,Exp.1b,Risk,,,,,right,HV,HL,,,,,,60,60,53.2,58.5,6.9,3.5,37.22,24.93,16.09,6.8,40.35,242.1,15.87,26.66,24.93,6.8,37.22,16.09,,
,0,m,S5_18,10.1667,RISK10,Exp.1b,Risk,,,,,left,HV,HL,,,,,,60,60,6,14.3,27.2,4.7,19.04,21.22,12.79,7.87,28.7,172.2,14.55,15.92,21.22,7.87,19.04,12.79,,
,1,m,S5_19,9.8333,RISK10,Exp.1b,Risk,,,,,left,HV,HL,,,,,,60,60,60,34.3,21.8,10.3,60,26.16,35.51,12.48,41.07,246.4,19.32,47.76,26.16,12.48,60,35.51,,
,1,f,S5_20,10.3667,RISK10,Exp.1b,Risk,,,,,right,HV,HL,,,,,,60,60,29.2,60,48.4,4,25.47,8.33,6.91,6.98,43.6,261.6,7.66,16.19,8.33,6.98,25.47,6.91,,
,0,m,S5_21,9.6333,RISK10,Exp.1b,Risk,,,,,right,LV,HL,,,,,,60,60,35.2,17.9,10.8,21.1,56.8,15.89,4.07,4.19,34.17,205,30.44,10.04,56.8,4.07,15.89,4.19,,
,0,m,S5_22,10.4667,RISK10,Exp.1b,Risk,,,,,right,HV,LH,,,,,,60,60,60,27.5,12.4,9.9,16.18,20.07,NA,NA,38.3,229.8,20.07,16.18,20.07,NA,16.18,NA,,
,0,m,S5_23,9.6333,RISK10,Exp.1b,Risk,,,,,left,LV,LH,,,,,,60,25.3,49,12.1,17.7,10.5,25.27,24.22,6.72,37.59,29.1,174.6,16,30.91,25.27,6.72,24.22,37.59,,
,0,m,S5_24,10.1,RISK10,Exp.1b,Risk,,,,,left,HV,LH,,,,,,47.1,60,25.2,12.3,3.5,8.9,12.87,40.06,34.31,24.09,26.17,157,32.08,23.59,40.06,24.09,12.87,34.31,,
,0,m,S5_25,10.233,RISK10,Exp.1b,Risk,,,,,right,HV,LH,,,,,,60,60,60,11.3,21.1,10.4,16.84,4.09,NA,NA,37.13,222.8,4.09,16.84,4.09,NA,16.84,NA,,
,0,m,S5_26,10.0333,RISK10,Exp.1b,Risk,,,,,left,HV,HL,,,,,,60,60,39.6,32.1,5.1,4.7,17.99,21.39,NA,NA,33.58,201.5,21.39,17.99,21.39,NA,17.99,NA,,
,0,m,S5_27,10.3,RISK10,Exp.1b,Risk,,,,,left,LV,HL,,,,,,60,52.8,60,50.1,21.4,14.2,19.92,18.07,8.63,5.69,43.08,258.5,14.28,11.88,19.92,8.63,18.07,5.69,,
,0,f,S5_28,9.7333,RISK10,Exp.1b,Risk,,,,,left,HV,LH,,,,,,NA,NA,NA,NA,NA,NA,6.11,25.01,41.03,7.34,NA,NA,16.18,23.57,25.01,7.34,6.11,41.03,,
,1,f,S5_29,9.9667,RISK10,Exp.1b,Risk,,,,,left,HV,HL,,,,,,28.99,20.57,46.76,37.78,40.04,6.85,28.38,15.62,16.46,4.27,30.17,180.99,9.95,22.42,15.62,4.27,28.38,16.46,,
,1,m,S5_30,10.4,RISK10,Exp.1b,Risk,,,,,right,LV,HL,,,,,,59.6,19.4,10.8,4.2,3.7,3.9,9.32,5.42,3.42,13.29,16.93,101.6,6.37,9.36,9.32,3.42,5.42,13.29,,
,1,f,S5_31,9.8333,RISK10,Exp.1b,Risk,,,,,left,LV,LH,,,,,,60,60,23.2,42.9,14,22.6,24.65,60,60,12.8,37.12,222.7,42.33,36.4,24.65,60,60,12.8,,
,1,m,S5_32,10.5667,RISK10,Exp.1b,Risk,,,,,right,HV,HL,,,,,,60,60,60,60,60,60,39.41,60,19.82,60,60,360,60,29.62,60,60,39.41,19.82,,
,1,f,S4_1,12.867,RISK13,Exp.1,Risk,,,,,right,LV,LH,,,,,,60,60,52,12.3,12.3,3.5,37.08,23.92,NA,NA,33.35,200.1,37.08,23.92,37.08,NA,23.92,NA,,
,0,m,S4_10,13.4,RISK13,Exp.1,Risk,,,,,left,LV,LH,,,,,,60,42,15.9,9,17.1,24.4,14.26,8.04,NA,NA,28.07,168.4,14.26,8.04,14.26,NA,8.04,NA,,
,1,m,S4_11,13.1,RISK13,Exp.1,Risk,,,,,left,LV,LH,,,,,,60,60,60,60,29.9,19.7,13.99,7.04,14.93,23.03,48.27,289.6,14.46,15.04,13.99,14.93,7.04,23.03,,
,1,f,S4_12,12.567,RISK13,Exp.1,Risk,,,,,right,LV,HL,,,,,,25.7,60,60,4.7,30.8,23.8,12.47,6.01,13.16,3.41,34.17,205,12.82,4.71,12.47,13.16,6.01,3.41,,
,1,m,S4_13,13.2,RISK13,Exp.1,Risk,,,,,right,HV,LH,,,,,,60,60,23.6,13.6,60,60,32.23,14.2,10.78,29.55,46.2,277.2,21.88,21.51,14.2,29.55,32.23,10.78,,
,0,f,S4_14,12.633,RISK13,Exp.1,Risk,,,,,left,HV,LH,,,,,,60,60,60,60,30.8,44.6,52.54,33.63,22.56,49.6,52.57,315.4,41.62,37.55,33.63,49.6,52.54,22.56,,
,0,f,S4_15,12.6,RISK13,Exp.1,Risk,,,,,left,LV,HL,,,,,,60,60,41.8,5.5,6.2,14.5,22.4,8.85,7.58,8.21,31.33,188,14.99,8.53,22.4,7.58,8.85,8.21,,
,1,f,S4_16,12.733,RISK13,Exp.1,Risk,,,,,right,LV,LH,,,,,,60,60,40.9,22.7,7.3,24.4,28.52,14.68,38.52,3.43,35.88,215.3,33.52,9.06,28.52,38.52,14.68,3.43,,
